text	translation
Compatibility	兼容性
Selected	已选中
Press key to bind...	按键以绑定...
Forward	前言
Backward	上一页
Left	左
Right	对
Crouch	克劳奇
Jump	跳转
Sprint	Sprint
Lean Left	向左倾斜
Lean Right	向右倾斜
Draw Primary	绘制主图
Draw Secondary	绘制辅助线
Draw Knife	刨刀
Draw Grenade 1	绘制手榴弹 1
Draw Grenade 2	绘制手榴弹 2
Raise Weapon	举起武器
Lower Weapon	放下武器
Aim	目的
Canted Aim	倾斜瞄准
Fire	火
Reload	重新加载
Ammo Check	弹药检查
Firemode	火模式
Inspect Weapon	检查武器
Prepare Insert	准备插入
Insert Cartridge	插入墨盒
Interact	互动
Place	地点
Decor Mode	装饰模式
Flashlight	手电筒
NVG	NVG
Laser	激光
Rail Movement	轨道移动
Secondary Optic	次级光学系统
Interface	界面
Rotate Item	旋转项目
Fast Transfer	快速传输
Fast Equip	快速装备
Fast Drop	快速下拉
Left Mouse Button	鼠标左键
Right Mouse Button	鼠标右键
Middle Mouse Button	鼠标中键
Mouse Wheel Up	鼠标滚轮向上
Mouse Wheel Down	鼠标滚轮向下
Mouse Thumb Button 1	鼠标拇指键 1
Mouse Thumb Button 2	鼠标拇指键 2
UI Scaling	UI 缩放
Loading...	正在加载...
Skip Intro [SPACE]	跳过简介 [空格键]
All save files deleted	所有保存文件已被删除
Character died	角色死亡
Intro	简介
Cabin	客舱
Shelter	庇护所
Tutorial	教程
Menu	菜单
Attic	阁楼
Death	死亡
Classroom	教室
Tent	帐篷
Bunker	掩体
Village	村庄
Area 05	05区
Highway	高速公路
School	学校
Outpost	前哨站
Border Zone	边境地带
Minefield	雷区
Apartments	公寓
Terminal	终端
Tutorial Exit	教程退出
Template	模板
shaders	着色器
Trader	交易员
Generalist	通才
Doctor	医生
Gunsmith	枪械师
Driver	驾驶员
Grandma	奶奶
Shaman	萨满
Fisherman	渔夫
Scientist	科学家
Bandit	强盗
Guards	守卫
Military	军事
Punisher	惩罚者
Neutral	中立
Overcast	阴天
Rain	雨
Storm	风暴
Generic	通用
Wood	木
Metal	金属
Concrete	混凝土
Rock	摇滚
Vostok	沃斯托克
