WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	
			0	0	0	0	0	literal	UI/Elements/Message	tscn	UI/Elements/Message	Panel/Margin	Info	Label	text	1343187841	✓  New Furniture Added [Catalog]	✓  새 가구 추가됨 [카탈로그]		PlaceHolder
			0	0	0	0	0	substr	Scripts/Interface	gd			Loader.Message	literal		1313	New Furniture Added [Catalog]	새 가구 추가됨 [카탈로그]		
			0	0	0	0	0	ignore	Scripts/Interface	gd			Loader.Message	literal		1471	New Furniture Added [Catalog]	새 가구 추가됨 [카탈로그]		
			0	0	0	0	0	substr	Scripts/AI	gd			Loader.Message	literal		1587	Boss Killed	보스 처치됨		
			0	0	0	0	0	pattern	Scripts/Bed	gd			Loader.Message	concat		42	You slept {str} hours	{str} 시간 동안 잤습니다		
			0	0	0	0	0	ignore	Scripts/Interface	gd			Loader.Message	concat		3214	You slept {str} hours	{str} 시간 동안 잤습니다		
			0	0	0	0	0	pattern	Scripts/CatFeeder	gd			Loader.Message	concat		46	Cat Fed ({name})	고양이에게 먹이를 줬습니다 ({name})		
			0	0	0	0	0	substr	Scripts/CatRescue	gd			Loader.Message	literal		23	Cat Rescued	고양이 구조됨		
			0	0	0	0	0	substr	Scripts/CatRescue	gd			Loader.Message	literal		24	Cat Vital Activated	고양이 상태 활성화됨		
			0	0	0	0	0	substr	Scripts/Character	gd			Loader.Message	literal		145	Cat Died	고양이가 사망했습니다		
			0	0	0	0	0	substr	Scripts/Helicopter	gd			Loader.Message	literal		310	You have been spotted!	적발되었습니다!	 I can't find when is this message appears yet, but maybe for a helicopter	
			0	0	0	0	0	pattern	Scripts/Trader	gd			Loader.Message	concat		172	Task Completed: {name}	의뢰 완료됨: {name}		
			0	0	0	0	0	pattern	Scripts/Killbox	gd			Loader.Message	concat		52	Item Returned: {name}	아이템 회수됨: {name}	Added at 0.1.1.3, but I can't find when is this message appears	
			0	0	0	0	0	substr	Scripts/Killbox	gd			Loader.Message	literal		74	Player Returned	플레이어 복귀 됨	Added at 0.1.1.3, but I can't find when is this message appears	
			0	0	0	0	0	ignore	Scripts/Killbox	gd			Loader.Message	literal		87	Player Returned	플레이어 복귀 됨	Added at 0.1.1.3, but I can't find when is this message appears	
