WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	잡화상이 마을에 복귀	Place holder text. Don't need to Translate	
Events	PlaceHolder	Type	0	ignore									Trader		상인	Place holder text. Don't need to Translate	
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"의사는 약을 전문으로 하는 상인으로, 05 구역의 버려진 학교 건물 안에 임시 진료소를 운영하고 있습니다.

할머니의 안부를 확인하러 다녀온 의사는 이 진료소로 돌아와 부상자들을 치료할 준비를 하고 있습니다."	Place holder text. Don't need to Translate	
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	보기		
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	1 일차		
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	{str} 일차		
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	10 일 후	Place holder text. Don't need to Translate. Use Pattern instead	
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	{str}일 후		
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} 이벤트		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	상인 이벤트	I don't know why is this string use lower case (event).	
Events	/	Type	0	substr									Trader Event	670	상인 이벤트		
Events	/	Type	0	substr									Dynamic Event	672	동적 이벤트		
Events	/	Type	0	substr									Special Event	674	특별 이벤트		
Events	/	Type	0	substr									Dynamic	676	동적		
Events	/	Type	0	substr									Special	678	특별		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	이벤트 위치:		
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	682	마을		
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	684	발생 가능성:		
Events	/	Percent	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	686	보장됨		
Events	/	Percent	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	688	~5% / 해당 지역	"Dynamically Changed on Event.gd
Maybe a Placeholder"	
Events	/	Percent	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance	690	~{str}% / 해당 지역		
Events	List/Day1	Name	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	692	잡화상이 마을에 복귀	"Please pay attention to the following points when translating:
- `Generalist`
- `Village`"	
Events	List/Day1	Type	0	ignore	Events/List/D1_Generalist	tres					type		Trader		상인		
Events	List/Day1	Description	0	literal	Events/List/D1_Generalist	tres					description		"Generalist is a ""jack of all trades"" trader who runs a small shop inside the Village garage building in Area 05 and specializes in common goods.

After taking a small mental break, Generalist is once again back in business and ready to serve his loyal customers with decent prices."	694	"잡화상은 05 구역 마을 차고 건물 안에 작은 가게를 운영하는 만능 재주꾼 상인으로, 주로 일반 생필품을 판매합니다.

잠시 휴식을 취한 후, 잡화상은 다시 영업을 시작하여 단골 고객들에게 합리적인 가격으로 상품을 제공할 준비를 마쳤습니다."	"Please pay attention to the following points when translating:
- `Generalist`
- `Village`
- `Area 05`"	
Events	List/Day2	Name	0	literal	Events/List/D2_Doctor	tres					name		Doctor returns to School	696	의사가 학교에 복귀	"Please pay attention to the following points when translating:
- `school`
- `Doctor`"	
Events	List/Day2	Type	0	ignore	Events/List/D2_Doctor	tres					type		Trader		상인		
Events	List/Day2	Description	0	literal	Events/List/D2_Doctor	tres					description		"Doctor is a trader who specializes in medicine and holds an improvised clinic inside an abandoned school building in Area 05.

After visiting Grandma for a ""welfare check,"" Doctor returns to his clinic and is ready to provide medical services for the injured."	698	"의사는 의학을 전문으로 하는 상인으로, 05 구역의 버려진 학교 건물 안에 임시 진료소를 운영하고 있습니다.

할머니의 안부를 확인하러 다녀온 의사는 진료소로 돌아와 부상자들을 치료할 준비를 마쳤습니다."	"Please pay attention to the following points when translating:
- `Area 05`
- `school`
- `Doctor`"	
