WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	簡単		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	中級		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	難しい		
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	チュートリアル課題1（初級）		
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy				
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"まずは簡単なことから始めましょう。

「アイテム」掲示板に行き、「缶詰のピーマンスープ」を受け取ってください。配達アイテムをインベントリに入れたら：
1. 「配達開始」を押す
2. 「缶詰のピーマンスープ」を選択する
3. 「完了」を押す"	"Please pay attention to the following points when translating:
- 'Canned Pea Soup'
- 'Start Delivery'
- 'Complete'"	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	チュートリアル課題2（上級）		
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate				
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"それでは、もう少し難易度を上げてみましょう。

タスクによっては、クラフトで作ったアイテムが必要になる場合があります。例えば、このタスクでは「ミートボール（調理済み）」が必要ですが、これはクラフトでしか入手できません。

「アイテム」パネルを開き、「ミートボールの缶詰」、「メスキット」、「水筒」を選択してください。また、「マッチ」も必要になります。これは「装備」パネルから入手できます。

次に、「ツール」UIの「クラフト」ボタンを使用して、「ミートボール（調理済み）」のレシピを探してください。レシピを確認すると、「熱」という近接要件が表示されています。つまり、このレシピをアンロックするには熱源が必要になります。

「ミートボール（調理済み）」をクラフトするには、以下の手順に従ってください：
1. ファイアポットに行き、マッチを装備して火をつけます
2. 「ミートボール（調理済み）」のレシピを開き、熱のシンボルが緑色に変わっていることを確認します
3. 「入力開始」を押します
4. メスキット、ミートボール（缶詰）、水筒を選択します
5. 「クラフト」を押します

これで、タスクに必要なアイテムのクラフトに成功し、タスクを完了できます。"	"Please pay attention to the following points when translating:
- 'Meatballs (Cooked)'
- 'Canned Meatballs'
- 'Mess Kit'
- 'Water Bottle'
- 'matches'
- 'Heat'
- 'Firepot'
- 'Start Input'"	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	チュートリアル課題3（家具）		
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard				
