WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	Fácil		#Machine Translated	
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	Intermediário		#Machine Translated	
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	Difícil		#Machine Translated	
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	Tarefa 1 do tutorial (fácil)		#Machine Translated	
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy	Fácil		#Machine Translated	
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"Vamos começar com algo simples.

Vá até o quadro de avisos de Itens e pegue a Sopa de Ervilha enlatada. Assim que tiver o item de entrega no seu inventário:
1. Clique em Iniciar Entrega
2. Selecione Sopa de Ervilha enlatada
3. Clique em Concluir"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"	#Machine Translated	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	Tarefa 2 do tutorial (Complexa)		#Machine Translated	
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate	Intermediário		#Machine Translated	
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"Agora vamos complicar um pouco as coisas.

Algumas tarefas podem exigir itens de entrega que precisam ser fabricados, como esta tarefa, que requer Almôndegas (Cozidas), que só podem ser obtidas através da fabricação.

Vá até o painel de Itens, pegue Almôndegas enlatadas, Conjunto de utensílios de cozinha e Garrafa de água. Você também vai precisar de fósforos, que podem ser encontrados no painel de Equipamentos.

Em seguida, encontre a receita de Almôndegas (Cozidas) na interface de Ferramentas usando o botão de Criação. Ao olhar para a receita, você verá que ela tem um requisito de proximidade de Calor, o que significa que você precisará de uma fonte de calor para desbloquear essa receita.

Para fabricar as Almôndegas (Cozidas), faça o seguinte:
1. Vá até o Braseiro, equipe os fósforos e acenda o fogo
2. Abra a receita de Almôndegas (Cozidas) e observe que o símbolo de calor ficou verde
3. Pressione Iniciar Entrada
4. Selecione Talher, Almôndegas enlatadas e Garrafa de água
5. Pressione Fabricar

Agora você fabricou com sucesso o item necessário para a tarefa e pode concluí-la."	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"	#Machine Translated	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	Tarefa 3 do tutorial (Móveis)		#Machine Translated	
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard	Difícil		#Machine Translated	
Tasks	Generalist/Tutorial/03	description	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					description		"There's one more thing to learn.

Some items that you might receive from crafting, trading or tasks are Furniture items, which are used for shelter customization.

Once you receive a Furniture item, it will be stored to a separate inventory called the Furniture Catalog, so it doesn't appear in your normal inventory.

Furniture Catalog is only accessible when you are inside of shelters, but you will always receive a message ""New Furniture Added [Catalog]"" when the catalog is updated.

Try getting new furniture by completing this task:
1. Press Start Delivery
2. Select Potato
3. Press Complete
4. Notice the message ""New Furniture Added [Catalog]""

You can learn more about shelter customization and Furniture Catalog from the tutorial billboard called Shelters."	"Há mais uma coisa a aprender.

Alguns itens que você pode receber ao fabricar, trocar ou realizar tarefas são itens de mobiliário, usados para personalizar o abrigo.

Quando você receber um item de mobiliário, ele será armazenado em um inventário separado chamado Catálogo de Mobiliário, por isso não aparecerá no seu inventário normal.

O Catálogo de Móveis só fica acessível quando você está dentro de abrigos, mas você sempre receberá a mensagem “Novo móvel adicionado [Catálogo]” quando o catálogo for atualizado.

Tente obter novos móveis completando esta tarefa:
1. Pressione Iniciar Entrega
2. Selecione Batata
3. Pressione Concluir
4. Observe a mensagem “Novo móvel adicionado [Catálogo]”

Você pode aprender mais sobre a personalização de abrigos e o Catálogo de Móveis no painel de tutorial chamado Abrigos."	"Please pay attention to the following points when translating:
'Furniture'
'shelter'
'Furniture Catalog'
'New Furniture Added [Catalog]'
'Start Delivery'
'Potato'
'Complete'
'tutorial'
'Shelters'"	#Machine Translated	
Tasks	Generalist/01	name	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					name		Prime Time	Horário nobre		#Machine Translated	
Tasks	Generalist/01	difficulty	0	ignore	Traders/Generalist/Tasks/01_Prime_Time	tres					difficulty		Easy	Fácil		#Machine Translated	
