location	parent	name	type	text	translation
UI/Elements/Event	Margin/Elements/Header	Title	Label	Generalist returns to Village	全能型选手重返村庄
UI/Elements/Event	Margin/Elements/Content	Description	Label	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	"医生是一位专攻医疗的商人，在05区一栋废弃的校舍内开设了一间临时诊所。

在去探望老奶奶进行“福利探访”后，医生回到这间诊所，准备为伤者提供医疗服务。"
UI/Elements/Event	Margin/Elements/Header	Show	Button	Show	显示
UI/Elements/Event	Margin/Elements/Header	Day	Label	Day 1	第1天
UI/Elements/Event	Margin/Elements/Header	Status	Label	In 10 days	10天后
UI/Elements/Event	Margin/Elements/Content	Type	Label	Trader event	交易者活动
UI/Elements/Event	Margin/Elements/Content	Location	Label	Event location:	活动地点：
UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	Village	村庄
UI/Elements/Event	Margin/Elements/Content	Possibility	Label	Event possibility:	活动可能性：
UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	~5% / map instance	约5% / 地图实例
UI/HUD	Stats/Vitals/Elements/Health	Header	Label	Health	健康
UI/HUD	Stats/Vitals/Elements/Energy	Header	Label	Energy	能源
UI/HUD	Stats/Vitals/Elements/Hydration	Header	Label	Hydration	补水
UI/HUD	Stats/Vitals/Elements/Mental	Header	Label	Mental	心理
UI/HUD	Stats/Vitals/Elements/Temperature	Header	Label	Body Temp	体温
UI/HUD	Stats/Oxygen	Header	Label	Oxygen	氧气
UI/HUD	Info	Map	Label	Shelter (Area 05)	避难所（05区）
UI/Interface	Container/Header	Label	Label	Container	容器
UI/Interface	Equipment/Header	Label	Label	Equipment	设备
UI/Interface	Equipment/Hints	Backpack	Label	Backpack	背包
UI/Interface	Equipment/Hints	Rig	Label	Rig	钻井平台
UI/Interface	Equipment/Hints	Helmet	Label	Helmet	头盔
UI/Interface	Equipment/Hints	Head	Label	Head	标题
UI/Interface	Equipment/Hints	Torso	Label	Torso	躯干
UI/Interface	Equipment/Hints	Legs	Label	Legs	腿
UI/Interface	Equipment/Hints	Belt	Label	Belt	皮带
UI/Interface	Equipment/Hints	Feet	Label	Feet	脚
UI/Interface	Equipment/Hints	Hands	Label	Hands	双手
UI/Interface	Equipment/Hints	Matches	Label	Matches	比赛
UI/Interface	Equipment/Hints	Light	Label	Light	光
UI/Interface	Equipment/Hints	NVG	Label	NVG	NVG
UI/Interface	Equipment/Hints	Time	Label	Time	时间
UI/Interface	Equipment/Hints	Map	Label	Map	地图
UI/Interface	Equipment/Hints	Player	Label	Player	玩家
UI/Interface	Character/Header	Label	Label	Character	角色
UI/Interface	Character/Vitals/Elements/Health	Header	Label	Health	健康
UI/Interface	Character/Vitals/Elements/Energy	Header	Label	Energy	能源
UI/Interface	Character/Vitals/Elements/Hydration	Header	Label	Hydration	补水
UI/Interface	Character/Vitals/Elements/Mental	Header	Label	Mental	心理
UI/Interface	Character/Vitals/Elements/Temperature	Header	Label	Body Temp	体温
UI/Interface	Character/Vitals/Elements/Cat	Header	Label	Cat	猫
UI/Interface	Character/Stats/Elements/Day	Header	Label	Day	天
UI/Interface	Character/Stats/Elements/Shelters	Header	Label	Shelters	收容所
UI/Interface	Character/Stats/Elements/Tasks	Header	Label	Tasks	任务
UI/Interface	Character/Stats/Elements/Quests	Header	Label	Quests	任务
UI/Interface	Tools/Header	Label	Label	Tools	工具
UI/Interface	Tools/Buttons/Margin/Buttons	Events	Button	Events	活动
UI/Interface	Tools/Buttons/Margin/Buttons	Crafting	Button	Crafting	手工制作
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons	Hint	Label	Proximity	邻近性
UI/Interface	Tools/Buttons/Margin/Buttons	Notes	Button	Task Notes	任务说明
UI/Interface	Tools/Notes	Hint	Label	Task Notes empty	任务备注为空
UI/Interface	Tools/Notes	Hint	Label	Task Notes not available (Tutorial)	任务说明不可用（教程）
UI/Interface	Tools/Buttons/Margin/Buttons	Map	Button	World Map	世界地图
UI/Interface	Tools/Map	Hint	Label	Map not equipped	未装备地图
UI/Interface	Tools/Map	Hint	Label	Map not usable (Vostok)	地图无法使用（沃斯托克）
UI/Interface	Tools/Map/Elements/Controls/Margin/Elements	Controls	Label	"Pan = [LMB]
Zoom = [SCROLL]"	"平移 = [左键]
缩放 = [滚轮]"
UI/Interface	Tools/Map/Elements/Controls/Margin/Elements	Focus	Button	Focus map	焦点地图
UI/Interface	Tools/Buttons/Margin/Buttons	Casette	Button	Casette Player	卡带播放器
UI/Interface	Tools/Casette	Hint	Label	Casette Player not equipped	未配备卡带播放器
UI/Interface	Tools/Casette/Elements/Header/Panel/Margin/Preview	Warning	Label	This casette includes licenced music (Content warning)	本磁带包含授权音乐（内容警告）
UI/Interface	Tools/Casette/Elements/Header/Panel/Margin/Preview/Casette/Margin	Name	Label	Casette Name	磁带名称
UI/Interface	Tools/Casette/Elements/Volume/Panel/Margin/Settings	Override	Button	Override Ambient Music [ON]	覆盖环境音乐 [开启]
UI/Interface	Tools/Casette/Elements/Volume/Panel/Margin/Settings	Override	Button	Override Ambient Music [OFF]	覆盖环境音乐 [关闭]
UI/Interface	Tools/Buttons/Margin/Buttons	Nomads	Button	Nomads	游牧民族
UI/Interface	Trader/Header	Label	Label	Trader	交易员
UI/Interface	Trader/Panel/Buttons	Supply	Button	Supply	供应
UI/Interface	Trader/Panel/Buttons	Tasks	Button	Tasks	任务
UI/Interface	Trader/Panel/Stats	Name	Label	Name:	姓名：
UI/Interface	Trader/Panel/Stats/Name	Value	Label	Trader	交易员
UI/Interface	Trader/Panel/Stats	Tax	Label	Tax:	税收：
UI/Interface	Trader/Panel/Stats	Tasks	Label	Tasks:	任务：
UI/Interface	Trader/Panel/Stats	Resupply	Label	Resupply:	补给：
