text	translation
Airdrop	Airdrop
Tutorial Crate	Tutorial-Kiste
Electric Box	Schaltkasten
Medical Cabinet	Medizinschrank
Office Cabinet	Büroschrank
Cabinet	Schrank
Corpse	Leiche
Bandit Corpse	Leiche eines Banditen
Crate Military	Crate Military
Crate Special	Kisten-Sonderangebot
Wooden Crate	Holzkiste
Garbage	Müll
Fireplace	Kamin
Freezer	Gefrierschrank
Fridge	Kühlschrank
Fusebox	Sicherungskasten
Locker	Spind
Mailbox	Postfach
Nightstand	Nachttisch
Boxes	Kisten
Stove	Herd
Furniture	Möbel
Furnitures	Möbel
Bed (Civilian)	Bett (für Zivilisten)
Bed C.	Bett C.
Bed (Nomad)	Bett (Nomad)
Bed N.	Bett N.
Cabinet (Medical)	Schrank (medizinisch)
Cabinet M.	Schrank M.
Cabinet (Office)	Kabinett (Büro)
Cabinet. 0	Schrank. 0
Cabinet (Wood)	Schrank (Holz)
Cabinet W.	Schrank W.
Carpet (Persian)	Teppich (persisch)
Carpet P.	Teppich P.
Carpet (Rag)	Teppich (Flickenteppich)
Carpet R.	Carpet R.
Chair (Office)	Stuhl (Büro)
Chair O.	Vorsitzender O.
Chair (School)	Lehrstuhl (Fakultät)
Chair S.	Vorsitzender S.
Sun Chair	Sonnenstuhl
S. Chair	S. Vorsitzender
Crate (Military)	Kiste (Militär)
Crate M.	Crate M.
Crate (Special)	Kiste (Spezial)
Crate S.	Crate S.
Cupboard	Schrank
C. Board	C. Vorstand
Curtain (Long)	Vorhang (lang)
Curtain L.	Vorhang L.
Curtain (Mini)	Vorhang (Mini)
Curtain M.	Vorhang M.
Dartboard	Dartscheibe
D. Board	D. Vorstand
N. Stand	N. Stand
Painting (Lake)	Gemälde (See)
Painting L.	Gemälde L.
Pallet	Palette
Poster (Posture)	Poster (Körperhaltung)
Poster P.	Poster P.
Rack (Coat)	Garderobe (Kleider)
Rack C.	Regal C.
Rya (Maria)	Rya (Maria)
Rya M.	Rya M.
Shelf (Metal)	Regal (Metall)
Shelf M.	Regal M.
Shelf (Wall)	Regal (Wand)
Shelf W.	Regal W.
Shelf (Wood)	Regal (Holz)
Sign (Border Zone)	Schild (Grenzgebiet)
Sign BZ.	Unterschreibe BZ.
Sofa (Leather)	Sofa (Leder)
Sofa L.	Sofa L.
Stool (Military)	Hocker (Militär)
Stool M.	Stuhl M.
Stool (Padded)	Hocker (gepolstert)
Stool P.	Stuhl P.
Table (Cabin)	Tisch (Kabine)
Table C.	Tabelle C.
Table (Canteen)	Tisch (Kantine)
Table (Kitchen)	Tisch (Küche)
Table K.	Tabelle K.
Table (Office)	Schreibtisch
Table. O	Tabelle. O
Target Stand	Zielständer
Target S.	Ziel S.
Television	Fernsehen
TV	Fernsehen
Trolley (Short)	Trolley (kurz)
Trolley S.	Trolley S.
Trolley (Tall)	Rollwagen (hoch)
Trolley T.	Trolley T.
Weapon Display	Waffenausstellung
Weapon D.	Waffe D.
Trader Event	Händlerveranstaltung
Dynamic Event	Dynamisches Ereignis
Special Event	Sonderveranstaltung
Dynamic	Dynamisch
Special	Besonderes
Guaranteed	Garantiert
Inventory	Bestand
Primary	Grundschule
Secondary	Sekundär
Vital	Lebenswichtig
Task Notes empty	Aufgabenhinweise leer
Task Notes not available (Tutorial)	Aufgabenhinweise nicht verfügbar (Tutorial)
Map not equipped	Karte nicht vorhanden
Map not usable (Vostok)	Karte nicht verwendbar (Vostok)
Casette Player not equipped	Kassettenrekorder nicht vorhanden
Casette Player power 0%, recharge player	Kassettenrekorder-Ladezustand 0 %, Rekorder aufladen
Casette Player empty, insert casette	Kassettenrekorder leer, bitte Kassette einlegen
Override Ambient Music [ON]	Hintergrundmusik überschreiben [EIN]
Override Ambient Music [OFF]	Hintergrundmusik überschreiben [AUS]
Sleep	Schlaf
Level 2	Stufe 2
Level 3	Stufe 3
Level 4	Stufe 4
Level 5	Stufe 5
Heat required	Erforderliche Heizleistung
Workbench required	Werkbank erforderlich
Shelter required	Unterkunft erforderlich
Start Input	Eingabe starten
Stop Input	Eingabe beenden
Reset Input	Eingabe zurücksetzen
Start Delivery	Lieferung starten
Stop Delivery	Lieferung stoppen
Delivered	Geliefert
CBRN	CBRN
Overweight	Übergewicht
Explosion	Explosion
Fall	Herbst
Day	Tag
Common	Allgemein
Rare	Selten
Legendary	Legendär
Armor Plate	Panzerplatte
Armor	Rüstung
Armor Plate {class}	Panzerplatten-{class}
Armor Plate (II)	Panzerplatte (II)
Armor Plate (III+)	Panzerplatte (III+)
Armor Plate (III)	Panzerplatte (III)
Armor Plate (IIIA)	Rüstungsplatte (IIIA)
Armor Plate (IV)	Rüstungsplatte (IV)
Backpack	Rucksack
Jääkäri Backpack (Black)	Rucksack „Jääkäri“ (Schwarz)
Jääkäri BP.	Jääkäri BP.
Jääkäri Backpack (Brown)	Rucksack „Jääkäri“ (braun)
Jääkäri Backpack (Green)	Rucksack „Jääkäri“ (grün)
Jääkäri Backpack (M05)	Rucksack „Jääkäri“ (M05)
Nomad Backpack	Nomad-Rucksack
Nomad BP.	Nomad BP.
Patrol Backpack	Patrouillenrucksack
Patrol BP.	Streifenwagen BP.
Duffel (Retro)	Reisetasche (Retro)
R. Duffel	R. Duffel
Belt Pouch	Gürteltasche
Kukkaro (Black)	Kukkaro (Schwarz)
Kukkaro	Kukkaro
Kukkaro (Brown)	Kukkaro (braun)
Kukkaro (Green)	Kukkaro (Grün)
Kukkaro (M05)	Kukkaro (M05)
Literature	Literatur
Book (Children)	Buch (Kinder)
Children	Kinder
Book (Cooking)	Buch (Kochbuch)
Cooking	Kochen
Book (Fishing)	Buch (Angeln)
Book (Religion)	Buch (Religion)
Religion	Religion
Clothing	Kleidung
Flame Beanie	Flame-Mütze
F. Beanie	F. Mütze
Combat Boots	Kampfstiefel
C. Boots	C. Stiefel
M62 Cap	M62-Kappe
Tactical Fleece (Brown)	Taktisches Fleece (braun)
T. Fleece	T. Fleece
Tactical Fleece (Green)	Taktisches Fleece (grün)
Leather Gloves	Lederhandschuhe
L. Gloves	L. Handschuhe
Work Gloves	Arbeitshandschuhe
W. Gloves	W. Handschuhe
Mosquito Hat	Mückenhaube
M. Hat	M. Hat
Sauna Hat	Saunahut
S. Hat	S. Hat
Hoodie (Border Zone)	Kapuzenpullover (Border Zone)
Hoodie BZ.	Hoodie BZ.
Hoodie B.	Hoodie B.
Hoodie (Gray)	Kapuzenpullover (grau)
Hoodie	Kapuzenpullover
M62 Jacket	M62-Jacke
M62 J.	M62 J.
Santa Jacket	Weihnachtsmannjacke
Santa J.	Weihnachtsmann J.
Winter Jacket (Blue)	Winterjacke (blau)
Winter Jacket	Winterjacke
Winter Jacket (Red)	Winterjacke (rot)
Winter J.	Winter J.
Jeans (Black)	Jeans (schwarz)
Jeans	Jeans
Hiking Pants	Wanderhosen
Hiking P.	Wandern P.
Windbreaker (Black)	Windjacke (schwarz)
Windbreaker	Windjacke
Windbr.	Windbr.
Windbreaker (Green)	Windjacke (grün)
Consumables	Verbrauchsmaterialien
Consumable	Verbrauchsmaterial
Drink	Getränk
Eat	Essen
Eat Raw	Iss roh
Eat (Raw)	Essen (roh)
Chew	Kauen
Smoke	Rauch
Use	Verwendung
Beer	Bier
Empty Can	Leere Dose
