WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Events	PlaceHolder	Name	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	Generalista volta ao Village	Place holder text. Don't need to Translate		
Events	PlaceHolder	Type	0	0	1	0	0	ignore									Trader	Operador	Place holder text. Don't need to Translate		
Events	PlaceHolder	Description	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	"O Doutor é um comerciante especializado em medicina e mantém uma clínica improvisada dentro de um prédio escolar abandonado na Área 05.

Depois de visitar a Vovó para uma “visita de acompanhamento”, o Doutor retorna à clínica e está pronto para prestar atendimento médico aos feridos."	Place holder text. Don't need to Translate		
Events	/	Button	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	Mostrar			
Events	/	Day	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	Dia 1			
Events	/	Day	0	0	0	0	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}				
Events	/	Day Left	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	Daqui a 10 dias	Place holder text. Don't need to Translate. Use Pattern instead		
Events	/	Day Left	0	0	0	0	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days				
Events	/	Type	0	0	0	0	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event				
Events	/	Type	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	Evento para traders	I don't know why is this string use lower case (event).		
Events	/	Type	0	0	1	0	0	substr									Trader Event	Evento para traders			
Events	/	Type	0	0	1	0	0	substr									Dynamic Event	Evento dinâmico			
Events	/	Type	0	0	1	0	0	substr									Special Event	Evento especial			
Events	/	Type	0	0	1	0	0	substr									Dynamic	Dinâmico			
Events	/	Type	0	0	1	0	0	substr									Special	Especial			
Events	/	Type	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	Local do evento:			
Events	/	Location	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	Aldeia			
Events	/	Location	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	Possibilidade de evento:			
Events	/	Percent	0	0	1	0	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	Garantido			
Events	/	Percent	0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	~5% por instância do mapa	"Dynamically Changed on Event.gd
Maybe a Placeholder"		
Events	/	Percent	0	0	0	0	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance				
Events	List/Day1	Name	0	0	1	0	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	Generalista volta ao Village			
Events	List/Day1	Type	0	0	1	0	0	ignore	Events/List/D1_Generalist	tres					type		Trader	Operador			
Events	List/Day1	Description	0	0	1	0	0	literal	Events/List/D1_Generalist	tres					description		"Generalist is a ""jack of all trades"" trader who runs a small shop inside the Village garage building in Area 05 and specializes in common goods.

After taking a small mental break, Generalist is once again back in business and ready to serve his loyal customers with decent prices."	"O Generalista é um comerciante ""multifacetado"" que administra uma pequena loja dentro do prédio da garagem da Vila, na Área 05, e é especializado em produtos de uso comum.

Depois de uma breve pausa para descansar a mente, o Generalista está de volta aos negócios e pronto para atender seus clientes fiéis com preços justos."			
Events	List/Day2	Name	0	0	1	0	0	literal	Events/List/D2_Doctor	tres					name		Doctor returns to School	Médico volta à faculdade			
Events	List/Day2	Type	0	0	1	0	0	ignore	Events/List/D2_Doctor	tres					type		Trader	Operador			
