WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	简单		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	中级		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	难		
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	教程任务 1（简单）		
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy				
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"我们先从简单的内容开始。

前往“物品”公告板，领取“豌豆罐头汤”。将配送物品放入背包后：
1. 点击“开始配送”
2. 选择“豌豆罐头汤”
3. 点击“完成”"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	教程任务 2（复杂）		
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate				
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"现在让我们增加一些难度。

有些任务可能需要通过制作获得的交付物品，比如这个任务需要“肉丸（熟）”，而这种物品只能通过制作获得。

前往“物品”界面，取出罐装肉丸、野战餐具和水壶。你还需要火柴，可以在“装备”界面找到。

接下来，通过“制作”按钮在“工具”界面中找到“熟肉丸”的配方。查看配方时，你会发现它有一个“热量”的距离要求，这意味着你需要一个热源才能解锁该配方。

要制作“熟肉丸”，请按以下步骤操作：
1. 前往火盆，装备火柴并点燃火焰
2. 打开“熟肉丸”配方，观察热量图标变为绿色
3. 按下“开始输入”
4. 选择野餐盒、罐装肉丸和水壶
5. 按下“制作”

现在你已成功制作出任务所需的物品，可以完成该任务了。"	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	教程任务 3（家具）		
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard				
Tasks	Generalist/Tutorial/03	description	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					description		"There's one more thing to learn.

Some items that you might receive from crafting, trading or tasks are Furniture items, which are used for shelter customization.

Once you receive a Furniture item, it will be stored to a separate inventory called the Furniture Catalog, so it doesn't appear in your normal inventory.

Furniture Catalog is only accessible when you are inside of shelters, but you will always receive a message ""New Furniture Added [Catalog]"" when the catalog is updated.

Try getting new furniture by completing this task:
1. Press Start Delivery
2. Select Potato
3. Press Complete
4. Notice the message ""New Furniture Added [Catalog]""

You can learn more about shelter customization and Furniture Catalog from the tutorial billboard called Shelters."	2802	"还有一件事需要了解。

通过制作、交易或完成任务获得的某些物品属于“家具”类别，可用于自定义庇护所。

一旦获得家具物品，它将被存放在一个名为“家具目录”的独立背包中，因此不会出现在你的普通背包里。

只有在庇护所内才能访问家具目录，但当目录更新时，你总会收到一条“新增家具 [目录]”的提示。

请尝试通过完成以下任务获取新家具：
1. 点击“开始配送”
2. 选择“土豆”
3. 点击“完成”
4. 留意“新增家具 [目录]”的提示

您可通过名为“庇护所”的教程公告牌，进一步了解庇护所自定义功能及家具目录。"	"Please pay attention to the following points when translating:
'Furniture'
'shelter'
'Furniture Catalog'
'New Furniture Added [Catalog]'
'Start Delivery'
'Potato'
'Complete'
'tutorial'
'Shelters'"	
Tasks	Generalist/01	name	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					name		Prime Time	2804	黄金时段		
Tasks	Generalist/01	difficulty	0	ignore	Traders/Generalist/Tasks/01_Prime_Time	tres					difficulty		Easy				
Tasks	Generalist/01	description	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					description		"Well, well... you must be that guy the Nomads found last week. Didn't they put you up in that old tiny cabin? We used to get drunk and play poker there sometimes, but that place always gave me a headache, I'm pretty sure there's asbestos in the ceiling or something.

Nevertheless, you’ve arrived at the prime time, because I’m out of toilet paper and the situation is getting urgent.

Speaking of prime time, I just finished repairing some electronics and I have this fully functional TV ready to go. Mark my words, at the moment, this is the only working TV in Area 05.

If you bring me that toilet paper, the TV is yours. It has all the channels pre-configured, vibrant colors and prime time shows are running as we speak."	2806	"哎哟，哎哟……你肯定就是游牧民上周发现的那个人吧。他们不是把你安排在那间又旧又小的木屋里了吗？我们以前有时会去那里喝得酩酊大醉，打打扑克，但那地方总让我头疼，我敢肯定天花板里肯定有石棉之类的东西。

不过，你来得正是时候，因为我没厕纸了，情况越来越紧急。

说到黄金时段，我刚修好几台电子设备，现在有一台功能完好的电视机随时可以看。记住我的话，眼下这是05区唯一能用的电视机。

如果你把卫生纸给我，这台电视就是你的了。所有频道都已预设好，色彩鲜艳，黄金时段的节目此刻正在播放。"	"Please pay attention to the following points when translating:
'Nomad'
'cabin'
'toilet paper'
'Area 05'"	
Tasks	Generalist/02	name	0	literal	Traders/Generalist/Tasks/02_Bad_Habits	tres					name		Bad Habits	2808	坏习惯		
Tasks	Generalist/02	difficulty	0	ignore	Traders/Generalist/Tasks/02_Bad_Habits	tres					difficulty		Easy				
Tasks	Generalist/02	description	0	literal	Traders/Generalist/Tasks/02_Bad_Habits	tres					description		"A while ago, I visited the Doctor in that abandoned school nearby. He told me that I should cut out all my ""bad habits,"" but the old fucker smokes himself, so screw him!

You're probably just one of those modern-day hippies who only licks mint pastilles when things get rough, but if you happen to find one of these, bring a pack or two and some matches as well."	2810	"前阵子，我去附近那所废弃的学校找医生看病。他跟我说我得改掉所有“坏习惯”，但这老混蛋自己不也抽烟吗，去他的！

你八成就是那种现代嬉皮士，遇到麻烦事就只知道舔薄荷糖，不过如果你碰巧发现了这种东西，记得带上一两包，顺便带点火柴。"	"Please pay attention to the following points when translating:
'Matches' is the plural form of match (match, noun), not match (verb).
'pack' may means cigarrete, not a cigar"	
Tasks	Generalist/03	name	0	literal	Traders/Generalist/Tasks/03_Backpains	tres					name		Backpains	2812	背痛		
Tasks	Generalist/03	difficulty	0	ignore	Traders/Generalist/Tasks/03_Backpains	tres					difficulty		Easy				
