Where	Sub	Type	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
Tutorial	Billboard	1. Settings	"1. Settings

Welcome to Road to Vostok Tutorial

This Tutorial will guide you through the most
important game mechanics and controls

Let's start with settings

You can access Settings with [ESC]

Through these settings you can change inputs,
different system values and performance options

?? = Performance options"	"1. 设置

欢迎来到《通往沃斯托克之路》教程

本教程将带您了解游戏中最
重要的机制和操作

让我们从设置开始

您可以按 [ESC] 键进入设置

通过这些设置，您可以调整输入方案、
各项系统参数以及性能选项

?? = 性能选项"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Settings.png			Performance Icon: Hand-crafted (Reconstruction)		
Tutorial	Billboard	2. Interface	"2. Interface

Interface is your main UI which contains elements
such as inventory, equipment, vitals and stats

You can access Interfae with [TAB]

If you want more information about an item, icon
or specific value, you can use Tooltip

Try Tooltip by opening Interface
and point the character health value"	"2. 界面

界面是你的主要用户界面，其中包含
物品栏、装备、生命值和属性等元素

你可以通过 [TAB] 键调出界面

如果你想了解某件物品、图标
或特定数值的更多信息，可以使用工具提示

打开界面后，将光标移至
角色的生命值上即可体验工具提示"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Interface.png					
Tutorial	Billboard	3. Loot & Items	"3. Loot & Items

All objects that logically have storage space are 
interactable loot containers

Loot is generated to these containers and items 
are also physically scattered to the game world


You can open, pick and interact with [MMB]

When you have items available in Interface, you can 
choose item actions with Context Menu [RMB]

Open container and try Context Menu with items"	"3. 战利品与物品

所有在逻辑上具有存储空间的物体都是
可交互的战利品容器

战利品会生成到这些容器中，同时物品
也会在游戏世界中物理散落


你可以使用 [中键] 打开、拾取并交互

当界面中有可用物品时，你可以
通过 [右键] 右键菜单选择物品操作

打开容器并尝试对物品使用右键菜单"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Items.png					
Tutorial	Billboard	4. Equipment	"4. Equipment

Equipment are dedicated items slots 
and linked to several important character stats

Equipment can increase your Carry Capacity [CC] 
and give you abilities like flashlight and fire making


You can find equipment slots in Interface
You can activate equipment slots by 
moving compatible items to them

Open container and try equipping items"	"4. 装备

装备是专用的物品栏位，
并与若干重要的角色属性相关联

装备可以提升你的负重能力 [CC]，
并赋予你手电筒和生火等技能


你可以在“界面”中找到装备栏位
你可以通过
将兼容的物品拖拽至装备栏位来激活它们

打开背包并尝试装备物品"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Equipment.png					
Tutorial	Billboard	5. Medical & Conditions	"5. Medical & Conditions

Medical system is based on conditions that 
negatively affect your character's vital stats

These conditions are presented as medical icons 
and you can find them in Interface and HUD


When a medical icon turns red, the condition is 
active and needs to be cured using a medical item

You can see causes, symptoms and cures with Tooltip

Open container and try using some medical items"	"5. 医疗与状态

医疗系统基于会对
角色生命值产生负面影响的状态

这些状态以医疗图标的形式呈现，
你可以在界面和HUD中找到它们


当医疗图标变为红色时，表示该状态
处于激活状态，需要使用医疗物品进行治疗

你可以通过工具提示查看原因、症状和治疗方法

打开背包，尝试使用一些医疗物品"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Medical.png					
Tutorial	Billboard	6. Weapons	"6. Weapons

Weapons are equipment and they use 
Primary, Secondary, Knife and Grenade slots

When a weapon is equipped you can draw 
and holster from slots with keys [1] [2] [3] [4] [5]


Every firearm can use Primary slot but only 
pistols and SMG's can utilize Secondary slot

Open container, equip a weapon and draw it
| [RMB] = Aim (ADS) | [F] = Firemode |
| [MMB] = Canted aim | [X]=Inspect weapon |
| [SCROLL] = Weapon position | [SCROLL] = Inspect rotation |"	"6. 武器

武器属于装备，它们使用
主武器、副武器、匕首和手榴弹槽

装备武器后，可通过按键 [1] [2] [3] [4] [5]
从相应槽位拔出或收起武器


所有枪械均可使用主武器槽，但只有
手枪和冲锋枪可以使用副武器槽

打开背包、装备武器并拔枪
| [右键] = 瞄准 (ADS) | [F] = 射击模式 |
| [中键] = 斜瞄 | [X] = 检查武器 |
| [滚轮] = 武器位置 | [滚轮] = 检查旋转 |"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Weapons.png					
Tutorial	Billboard	7. Ammo & Magazines	"7. Ammo & Magazines

Weapon system uses seperated magazines
and caliber-based ammo types

You can load a magazine by moving a compatible
ammo type to the magazine with Interface

You can unload a magazine with Context Menu [RMB]

Magazines can be attached to weapons manually
or with [R] which fetches a loaded magazine for you

Open container, use Tooltip to identify the ammo
and magazine compatibility, Load -> Attach -> Fire

[LMB] = Fire [V] = ammo check [CTRL] -> [LMB] = Bullet insert (Bolts & Shotguns)"	"7. 弹药与弹匣

武器系统采用独立弹匣
及基于口径的弹药类型

您可以通过界面将兼容的
弹药类型拖拽至弹匣中进行装填

您可通过右键点击（[RMB]）打开快捷菜单卸下弹匣

弹匣可手动装入武器
或按 [R] 键自动获取已装填的弹匣

打开容器，通过工具提示确认弹药
与弹匣的兼容性，装填 -> 装入 -> 射击

[左键] = 射击 [V] = 检查弹药 [CTRL] + [左键] = 装填子弹（步枪与霰弹枪）"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Ammo.png					
Tutorial	Billboard	8. Attachments	"8. Attachements

You can customize weapons by attaching 
suppressors, optics and lasers to them

You can add/swap attachments like magazines 
with Interface and remove using Context Menu


Open container, use Tooltip or item hover colors to 
identify attachment compatibility and try customizing
[HOLD CTRL] + [SCROLL] = Optic rail position
[SCROLL] = LPVO zoom level
[ALT] = Secondary optic
[T] = Laser toggle"	"8. 配件

您可以通过为武器安装
消音器、瞄准镜和激光瞄准器来对其进行自定义

您可以通过界面添加/更换配件（如弹匣），
并通过右键菜单将其移除


打开装备栏，通过工具提示或悬停时的颜色提示
确认配件兼容性，并尝试进行自定义
[按住 CTRL] + [滚轮] = 瞄准镜导轨位置
[滚轮] = LPVO 变焦等级
[ALT] = 副瞄准镜
[T] = 激光器开关"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Attachments.png					
Tutorial	Billboard	9. Knives & Grenades	"9. Knives & Grenades

When a knife is equipped, you can draw it with key [3]

You can use slash attack with [LMB] 
and stab attack with [RMB]


You have two grenades slots and you can draw 
grenades with keys [4] and [5]

You can prepare high throw with [LMB] 
and low throw with [RMB]

Second press executes and opposite button resets the throw"	"9. 匕首与手榴弹

装备匕首后，可通过按键 [3] 拔出

使用 [左键] 可进行劈砍攻击，
使用 [右键] 可进行刺击


你有两个手雷槽，可通过按键 [4] 和 [5] 
拔出手雷

可通过 [左键] 进行高抛
通过 [右键] 进行低抛

再次按下可执行投掷，反向按键可重置投掷"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Grenades.png					
Tutorial	Billboard	10. Armor	"10. Armor

Armor system is based on NIJ-rated (II-IV)
helmets, armor plates, and plate carriers (rigs)

Armor protection level is directly linked
to ammo/weapon penetration level which
both can be checked using Tooltip


Open container, equip helmet and plate carrier and
try attaching armor plate to the rig like attachments

|NIJ II = Level 1| 1. If protection matches penetration, armor can take 3-4 shots|
|NIJ IIA = Level2| 2. Each hit reduces armor condition, armor breaks at 0%|
|NIJ III = Level 3| 3. Higher lever penetration breaks the armor immediately|
|NIJ III+ = Level 4| 4. Helmets prevent critical medical condition Headshot|
|NIJ IV = Level 5| 5. Armor plates prevent critical medical condition Rupture|"	"10. 护甲

护甲系统基于符合NIJ标准（II-IV级）的
头盔、防弹板和防弹背心（护甲背心）

护甲防护等级与
弹药/武器的穿透等级直接相关，
两者均可通过工具提示查看


打开背包，装备头盔和护甲背心，
尝试将护甲板像附件一样装载到背心上

|NIJ II = 1级| 1. 若防护等级与穿透等级相匹配，护甲可承受3-4发子弹|
|NIJ IIA = 2级| 2. 每次命中都会降低护甲状态，护甲状态降至0%时护甲破裂|
|NIJ III = 3级| 3. 更高穿透等级的子弹会立即击穿护甲|
|NIJ III+ = 4级| 4. 头盔可防止头部中弹导致的重伤|
|NIJ IV = 5级| 5. 防弹板可防止内脏破裂导致的重伤|"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Armor.png					
