text	translation
Compatibility	互換性
Selected	選択済み
Press key to bind...	キーを押して割り当ててください...
Forward	次へ
Backward	戻る
Left	左
Right	その通り
Crouch	クラウチ
Jump	ジャンプ
Sprint	スプリント
Lean Left	左寄り
Lean Right	右に傾く
Draw Primary	プライマリの描画
Draw Secondary	セカンダリを描画
Draw Knife	引き鉋
Draw Grenade 1	手榴弾1を投げる
Draw Grenade 2	手榴弾を投げる 2
Raise Weapon	武器を構える
Lower Weapon	武器を下げる
Aim	目的
Canted Aim	傾斜した照準
Fire	火
Reload	再読み込み
Ammo Check	弾薬確認
Firemode	ファイアモード
Inspect Weapon	武器を点検する
Prepare Insert	挿入の準備
Insert Cartridge	カートリッジを挿入してください
Interact	交流する
Place	場所
Decor Mode	デコレーションモード
Flashlight	懐中電灯
NVG	NVG
Laser	レーザー
Rail Movement	レールの動き
Secondary Optic	二次光学系
Interface	インターフェース
Rotate Item	アイテムを回転
Fast Transfer	高速転送
Fast Equip	即装備
Fast Drop	ファスト・ドロップ
Left Mouse Button	マウスの左ボタン
Right Mouse Button	マウスの右ボタン
Middle Mouse Button	マウスの中ボタン
Mouse Wheel Up	マウスホイールを上にスクロール
Mouse Wheel Down	マウスホイールを下にスクロール
Mouse Thumb Button 1	マウスの親指ボタン 1
Mouse Thumb Button 2	マウスの親指ボタン 2
UI Scaling	UIの拡大縮小
Loading...	読み込み中...
Skip Intro [SPACE]	イントロをスキップ [スペース]
All save files deleted	保存されたファイルがすべて削除されました
Character died	キャラクターが死亡しました
Intro	はじめに
Cabin	キャビン
Shelter	シェルター
Tutorial	チュートリアル
Menu	メニュー
Attic	屋根裏部屋
Death	死
Classroom	教室
Tent	テント
Bunker	バンカー
Village	村
Area 05	エリア05
Highway	高速道路
School	学校
Outpost	前哨基地
Border Zone	国境地帯
Minefield	地雷原
Apartments	アパート
Terminal	ターミナル
Tutorial Exit	チュートリアルの終了
Template	テンプレート
shaders	シェーダー
Trader	トレーダー
Generalist	ジェネラリスト
Doctor	医師
Gunsmith	銃器職人
Driver	ドライバー
Grandma	おばあちゃん
Shaman	シャーマン
Fisherman	漁師
Scientist	科学者
Bandit	バンディット
Guards	警備員
Military	軍事
Punisher	パニッシャー
Neutral	中立
Overcast	曇り
Rain	雨
Storm	嵐
Generic	一般
Wood	木材
Metal	金属
Concrete	コンクリート
Rock	ロック
Vostok	ボストーク
Inventory	在庫
Primary	小学校
Secondary	セカンダリ
Vital	バイタル
Task Notes empty	タスクのメモは空です
Task Notes not available (Tutorial)	タスクノートは利用できません（チュートリアル）
Map not equipped	マップが装備されていません
Map not usable (Vostok)	地図は使用不可（ボストーク）
Casette Player not equipped	カセットプレーヤーは搭載されていません
Casette Player power 0%, recharge player	カセットプレーヤーのバッテリー残量 0%、プレーヤーを充電してください
Casette Player empty, insert casette	カセットプレーヤーにカセットが入っていません。カセットを入れてください。
Override Ambient Music [ON]	BGMの上書き [ON]
Override Ambient Music [OFF]	BGMの上書き [OFF]
Sleep	睡眠
Level 2	レベル2
Level 3	レベル3
Level 4	レベル4
Level 5	レベル5
Heat required	加熱が必要
Workbench required	ワークベンチが必要です
Shelter required	シェルターが必要
Start Input	入力を開始
Stop Input	入力を停止
Reset Input	入力をリセット
Start Delivery	配送を開始する
Stop Delivery	配達停止
Delivered	納品済み
CBRN	CBRN
Overweight	肥満
Explosion	爆発
Fall	秋
Day	日
Easy	簡単
Intermediate	中級
Hard	難しい
Tutorial Task 1 (Simple)	チュートリアル課題1（初級）
"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"まずは簡単なことから始めましょう。

「アイテム」掲示板に行き、「缶詰のピーマンスープ」を受け取ってください。配達アイテムをインベントリに入れたら：
1. 「配達開始」を押す
2. 「缶詰のピーマンスープ」を選択する
3. 「完了」を押す"
Tutorial Task 2 (Complex)	チュートリアル課題2（上級）
