location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	兼容性
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	UI 缩放 [即将推出]
UI/Interface	Equipment/Hints	Knife	Label	Knife	刀
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	手榴弹
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	手榴弹
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	热
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	附近的一种制作材料，某些烹饪类配方可能需要它。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	距离要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	工作台
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	一种附近的合成材料，某些建筑类配方可能需要它。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	距离要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	测试平台
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	一种附近的合成材料，某些电子类配方可能需要它。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	距离要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	庇护所
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	附近的一种制作材料，某些家具制作配方可能需要它。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	距离要求
UI/Interface	Trader/Panel	Info		Trader	交易员
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	承载能力
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	所有设备项目的容量值（千克）。
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	背包状态
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	库存重量
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	所有库存项目的重量（公斤）。
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	背包状态
UI/Interface	Inventory/Header/Value	Info		Inventory Value	库存价值
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	所有库存项目的价格（欧元）。
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	背包状态
UI/Interface	Container/Header/Weight	Info		Container Weight	集装箱重量
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	所有集装箱货物的总重量（公斤）。
UI/Interface	Container/Header/Weight	Info		Container Stat	容器状态
UI/Interface	Container/Header/Value	Info		Container Value	容器值
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	所有集装箱货物的价格（欧元）。
UI/Interface	Container/Header/Value	Info		Container Stat	容器状态
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	承载能力
