WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	ジェネラリストがヴィレッジに復帰	Place holder text. Don't need to Translate		
Events	PlaceHolder	Type	0	ignore									Trader			Place holder text. Don't need to Translate		
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"ドクターは医療を専門とするトレーダーで、エリア05の廃校舎内に即席の診療所を開いている。

「安否確認」のために老婆を訪ねた後、ドクターはこの診療所に戻り、負傷者への医療サービスを提供する準備を整えている。"	Place holder text. Don't need to Translate		
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	表示			
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	1日目			
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	Day {str}			
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	10日後	Place holder text. Don't need to Translate. Use Pattern instead		
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	In {str} Days			
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} Event			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	トレーダー向けイベント	I don't know why is this string use lower case (event).		
Events	/	Type	0	substr									Trader Event	670	トレーダー向けイベント			
Events	/	Type	0	substr									Dynamic Event	672	ダイナミック・イベント			
Events	/	Type	0	substr									Special Event	674	特別イベント			
Events	/	Type	0	substr									Dynamic	676	ダイナミック			
Events	/	Type	0	substr									Special	678	スペシャル			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	イベント会場：			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	682	村			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	684	イベントの可能性：			
Events	/	Percent	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	686	保証付き			
Events	/	Percent	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	688	マップインスタンスあたり約5%	"Dynamically Changed on Event.gd
Maybe a Placeholder"		
Events	/	Percent	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance	690	~{str}% / map instance			
Events	List/Day1	Name	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	692	ジェネラリストがヴィレッジに復帰			
Events	List/Day1	Type	0	ignore	Events/List/D1_Generalist	tres					type		Trader					
Events	List/Day1	Description	0	literal	Events/List/D1_Generalist	tres					description		"Generalist is a ""jack of all trades"" trader who runs a small shop inside the Village garage building in Area 05 and specializes in common goods.

After taking a small mental break, Generalist is once again back in business and ready to serve his loyal customers with decent prices."	694	"ジェネラリストは、エリア05のヴィレッジ・ガレージビル内にある小さな店を営む「何でも屋」の商人で、日用品を専門に扱っています。

少し気分転換をした後、ジェネラリストは再び営業を再開し、常連客に手頃な価格で商品を提供する準備が整いました。"			
Events	List/Day2	Name	0	literal	Events/List/D2_Doctor	tres					name		Doctor returns to School	696	医師が学校に戻る			
Events	List/Day2	Type	0	ignore	Events/List/D2_Doctor	tres					type		Trader					
Events	List/Day2	Description	0	literal	Events/List/D2_Doctor	tres					description		"Doctor is a trader who specializes in medicine and holds an improvised clinic inside an abandoned school building in Area 05.

After visiting Grandma for a ""welfare check,"" Doctor returns to his clinic and is ready to provide medical services for the injured."	698	"ドクターは医療を専門とする商人であり、エリア05にある廃校の校舎内に即席の診療所を開いている。

「安否確認」のために祖母を訪ねた後、ドクターは診療所に戻り、負傷者への治療の準備を整える。"			
Events	List/Day3	Name	0	literal	Events/List/D3_Fighters	tres					name		Fighter Jets	700	戦闘機			
Events	List/Day3	Type	0	ignore	Events/List/D3_Fighters	tres					type		Dynamic					
Events	List/Day3	Description	0	literal	Events/List/D3_Fighters	tres					description		"After the Area 05 evacuation and Border Zone demilitarization, things have started to take a wrong turn and a show of force is needed.

The Finnish military will start performing non-lethal, high-visibility aerial flybys with fighter jets that appear in the sky frequently."	702	"エリア05の避難と国境地帯の非武装化を経て、事態は思わぬ方向へと進み始めており、力による示威行動が必要となっている。

フィンランド軍は、戦闘機による非致死的で視認性の高い低空飛行を頻繁に実施し、空に頻繁に姿を現すことになる。"			
Events	List/Day4	Name	0	literal	Events/List/D4_Cat	tres					name		Missing Cat	704	行方不明の猫			
Events	List/Day4	Type	0	ignore	Events/List/D4_Cat	tres					type		Special					
