location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	Novo jogo
Scenes/Menu	Main/Buttons	Load	Button	Load game	Carregar jogo
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	Tutorial
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	"Configurações
"
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	"Roteiro
"
Scenes/Menu	Main/Buttons	About	Button	"About
"	"Sobre
"
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	"Sair
"
Scenes/Menu	Log	Header	Label	Changelog	Registro de alterações
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	"Desligado
"
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	"Em
"
Scenes/Menu	Hardware	Header	Label	Hardware Check	Verificação de hardware
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	"Desligado
"
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	"Em
"
Scenes/Menu	Intro	Header	Label	Watch Intro	Assista à introdução
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	"Desligado
"
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	"Em
"
Scenes/Menu	Music	Header	Label	Menu Music	Menu Música
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	"Desligado
"
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	"Em
"
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	Road to Vostok ® é uma marca registrada da Road to Vostok Ltd. Todos os direitos reservados © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	Versão: 0.1.1.3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	Registro de alterações
