WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	Allrounder kehrt ins Village zurück	Place holder text. Don't need to Translate	
Events	PlaceHolder	Type	0	ignore									Trader			Place holder text. Don't need to Translate	
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"Der Doktor ist ein auf Medizin spezialisierter Händler und betreibt eine provisorische Klinik in einem verlassenen Schulgebäude in Area 05.

Nachdem er die Großmutter zu einem „Wohlfahrtscheck“ besucht hat, kehrt der Doktor in diese Klinik zurück und steht bereit, den Verletzten medizinische Hilfe zu leisten."	Place holder text. Don't need to Translate	
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	Anzeigen		
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	Tag 1		
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	Day {str}		
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	In 10 Tagen	Place holder text. Don't need to Translate. Use Pattern instead	
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	In {str} Days		
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} Event		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	Händlerveranstaltung	I don't know why is this string use lower case (event).	
Events	/	Type	0	substr									Trader Event	670	Händlerveranstaltung		
Events	/	Type	0	substr									Dynamic Event	672	Dynamisches Ereignis		
Events	/	Type	0	substr									Special Event	674	Sonderveranstaltung		
Events	/	Type	0	substr									Dynamic	676	Dynamisch		
Events	/	Type	0	substr									Special	678	Besonderes		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	Veranstaltungsort:		
