WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	Fácil			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	Nivel intermedio			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	Difícil			
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	Tarea 1 del tutorial (sencilla)			
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy					
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"Empecemos con algo sencillo.

Ve al tablón de anuncios de artículos y elige «Sopa de guisantes en lata». Una vez que tengas el artículo de entrega en tu inventario:
1. Pulsa «Iniciar entrega»
2. Selecciona «Sopa de guisantes en lata»
3. Pulsa «Completar»"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"		
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	Tarea 2 del tutorial (Compleja)			
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate					
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"Ahora vamos a añadir un poco de complejidad.

Algunas tareas pueden requerir objetos de entrega que hay que fabricar, como esta tarea, que requiere albóndigas (cocidas), las cuales solo se pueden obtener mediante la fabricación.

Ve al panel de objetos, toma las albóndigas enlatadas, el kit de comida y la botella de agua. También vas a necesitar fósforos, los puedes encontrar en el panel de equipo.

A continuación, busca la receta de albóndigas (cocidas) en la interfaz de herramientas usando el botón de fabricación. Cuando mires la receta, verás que tiene un requisito de proximidad de calor, lo que significa que necesitarás una fuente de calor para desbloquear esa receta.

Para fabricar las albóndigas (cocidas), haz lo siguiente:
1. Ve al fogón, equipa las cerillas y enciende el fuego
2. Abre la receta de albóndigas (cocidas) y fíjate en que el símbolo de calor se ha vuelto verde
3. Presiona «Iniciar entrada»
4. Selecciona el kit de cocina, las albóndigas enlatadas y la botella de agua
5. Presiona «Fabricar»

Ahora has fabricado con éxito el objeto requerido para la tarea y puedes completarla."	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"		
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	Tarea 3 del tutorial (Mobiliario)			
