text	translation
Airdrop	Аирдроп
Tutorial Crate	Обучающий ящик
Electric Box	Электрощиток
Medical Cabinet	Медицинский шкаф
Office Cabinet	Офисный шкаф
Cabinet	Шкаф
Corpse	Труп
Bandit Corpse	Труп бандита
Crate Military	Военный ящик
Crate Special	Особый ящик
Wooden Crate	Деревянный ящик
Garbage	Мусор
Fireplace	Камин
Freezer	Морозилка
Fridge	Холодильник
Fusebox	Щиток с предохранителями
Locker	Шкафчик
Mailbox	Почтовый ящик
Nightstand	Прикроватная тумбочка
Boxes	Ящики
Stove	Плита
Furniture	Мебель
Furnitures	Мебель
Bed (Civilian)	Кровать (Гражданская)
Bed C.	Гражд. кровать.
Bed (Nomad)	Кровать (Кочевник)
Bed N.	Кочев. кровать.
Cabinet (Medical)	Шкаф (Медицинский)
Cabinet M.	Мед. шкаф.
Cabinet (Office)	Шкаф (Офисный)
Cabinet. 0	Офис. шкаф. 0
Cabinet (Wood)	Шкаф (Деревянный)
Cabinet W.	Дерев. шкаф.
Carpet (Persian)	Ковёр (Персидский)
Carpet P.	Перс. ковёр.
Carpet (Rag)	Ковёр (Лоскутный)
Carpet R.	Лоскут. ковёр.
Chair (Office)	Стул (Офисный)
Chair O.	Офис. стул.
Chair (School)	Стул (Школьный)
Chair S.	Школ. стул.
Sun Chair	Шезлонг
S. Chair	Шезлонг
Crate (Military)	Ящик (Военный)
Crate M.	Воен. ящик.
Crate (Special)	Ящик (Особый)
Crate S.	Особ. ящик.
Cupboard	Кухонный шкаф
C. Board	Кух. шкаф
Curtain (Long)	Штора (Длинная)
Curtain L.	Длин. штора.
Curtain (Mini)	Штора (Короткая)
Curtain M.	Корот. штора.
Dartboard	Мишень для дартса
D. Board	Дартс
N. Stand	Прикров. тумбочка
Painting (Lake)	Картина (Озеро)
Painting L.	Картина оз.
Pallet	Поддон
Poster (Posture)	Плакат (Осанка)
Poster P.	Плакат осан.
Rack (Coat)	Вешалка (пальто)
Rack C.	Вешалка.
Rya (Maria)	Рья (Мария)
Rya M.	Рья М.
Shelf (Metal)	Полка (Металлическая)
Shelf M.	Металл. полка.
Shelf (Wall)	Полка (Настенная)
Shelf W.	Настен. полка.
Shelf (Wood)	Полка (Деревянная)
Sign (Border Zone)	Знак (Пограничная зона)
Sign BZ.	Знак ПЗ.
Sofa (Leather)	Диван (Кожаный)
Sofa L.	Кожан. диван.
Stool (Military)	Табурет (Военный)
Stool M.	Воен. табурет.
Stool (Padded)	Табурет (Мягкий)
Stool P.	Мягк. табурет.
Table (Cabin)	Стол (Каютный)
Table C.	Каютн. стол.
Table (Canteen)	Стол (Столовая)
Table (Kitchen)	Стол (Кухонный)
Table K.	Кухон. стол.
Table (Office)	Стол (Офисный)
Table. O	Офис. стол
Target Stand	Стойка для мишени
Target S.	Стойка мишени.
Television	Телевизор
TV	ТВ
Trolley (Short)	Тележка (Низкая)
Trolley S.	Тележка низк.
Trolley (Tall)	Тележка (Высокая)
Trolley T.	Тележка выс.
Weapon Display	Стенд для оружия
Weapon D.	Стенд оруж.
Trader Event	Событие торговца
Dynamic Event	Динамическое событие
Special Event	Особое событие
Dynamic	Динамический
Special	Особое
Guaranteed	Гарантировано
Generalist returns to Village	Универсал возвращается в Деревню
"Generalist is a ""jack of all trades"" trader who runs a small shop inside the Village garage building in Area 05 and specializes in common goods.

After taking a small mental break, Generalist is once again back in business and ready to serve his loyal customers with decent prices."	"Универсал — торговец на все руки, который держит небольшой магазин в гаражном здании Деревни в Зоне 05 и специализируется на товарах повседневного спроса.

После небольшого ментального перерыва Универсал снова вернулся к делу и готов обслуживать своих постоянных клиентов по достойным ценам."
Doctor returns to School	Доктор возвращается в Школу
"Doctor is a trader who specializes in medicine and holds an improvised clinic inside an abandoned school building in Area 05.

After visiting Grandma for a ""welfare check,"" Doctor returns to his clinic and is ready to provide medical services for the injured."	"Доктор — торговец, специализирующийся на медицине, и ведёт импровизированную клинику внутри заброшенного школьного здания в Зоне 05.

После визита к Бабушке для «проверки благополучия» Доктор возвращается в свою клинику и готов оказывать медицинскую помощь пострадавшим."
Fighter Jets	Истребители
"After the Area 05 evacuation and Border Zone demilitarization, things have started to take a wrong turn and a show of force is needed.

The Finnish military will start performing non-lethal, high-visibility aerial flybys with fighter jets that appear in the sky frequently."	"После эвакуации Зоны 05 и демилитаризации Пограничной Зоны ситуация начала принимать неожиданный оборот, и потребовалась демонстрация силы.

Финские военные начнут выполнять нелетальные показательные облёты на истребителях, которые будут часто появляться в небе."
Missing Cat	Пропавшая кошка
"Grandma's cat has gone missing after a sonic boom from a fighter jet spooked the cat and it ran away.

A few days ago, Nomads found the cat wandering in the Outpost and managed to capture it with some sort of box. Once the Nomads started to deliver the cat back to Grandma, they were ambushed by Bandits who apparently took the box.

Locals saw the Bandits tossing the box around in a cruel way and eventually leaving the box somewhere."	"Кошка Бабушки пропала после того, как звуковой удар истребителя напугал её, и она убежала.

Несколько дней назад Кочевники нашли кошку, бродящую на Аванпосту, и сумели поймать её с помощью какой-то коробки. Когда Кочевники начали доставлять кошку обратно к Бабушке, на них устроили засаду Бандиты, которые, судя по всему, забрали коробку.

Местные жители видели, как Бандиты жестоко перебрасывали коробку друг другу и в конце концов бросили её где-то."
Punisher arrives to Area 05	Каратель прибывает в Зону 05
"Punisher is a bandit boss and a feared debt collector in the Finnish criminal world.

Punisher and his minions have stolen a local police van and are taking routine drives across Area 05."	"Каратель — бандитский босс и внушающий страх сборщик долгов в финском криминальном мире.

Каратель и его приспешники угнали местный полицейский фургон и совершают регулярные объезды по Зоне 05."
Airdrops are delivered to Area 05	Авиадесантные грузы доставлены в Зону 05
"After a long delay, the Finnish military has once again started delivering airdrops to Area 05.

Airdrops usually contain humanitarian aid such as medicals, consumables and other relevant survival gear."	"После долгой задержки финские военные снова начали доставлять авиадесантные грузы в Зону 05.

Авиадесантные грузы обычно содержат гуманитарную помощь: медикаменты, расходные материалы и другое необходимое снаряжение для выживания."
BTR Patrols	Патрули БТР
"The military faction has started to use armored vehicles in the Vostok area.

Military BTR's are equipped with heavy machine guns and patrols have been seen across main roads and key locations."	"Военная фракция начала использовать бронированные машины в районе Востока.

Военные БТРы оснащены тяжёлыми пулемётами, и их патрули были замечены на основных дорогах и ключевых объектах."
Attack Helicopters	Ударные вертолёты
"The Border Zone demilitarization is starting to crumble and it is obvious that previous rules no longer apply.

While official sources ensure nothing has changed, attack helicopters have started making frequent patrols and airspace violations near the Border Zone."	"Демилитаризация Пограничной Зоны начинает рушиться, и очевидно, что прежние правила больше не действуют.

Хотя официальные источники заверяют, что ничего не изменилось, ударные вертолёты начали совершать частые патрульные облёты и нарушения воздушного пространства вблизи Пограничной Зоны."
Helicopter Crash Sites	Места крушения вертолётов
"After airspace violations, aerial incidents were unavoidable and multiple attack helicopters were shot down on both sides of the border.

Helicopter crash sites are scattered around multiple locations and contain high-value loot, which also makes them hotspots for AI activity."	"После нарушений воздушного пространства авиационные инциденты стали неизбежны, и несколько ударных вертолётов было сбито по обе стороны границы.

Места крушений вертолётов разбросаны по нескольким локациям и содержат ценный лут, что делает их горячими точками активности ИИ."
Gunsmith returns to Outpost	Оружейник возвращается на Аванпост
"Gunsmith is a trader who maintains a weapon storage inside one of the Outpost bunkers and specializes in everything related to firearms.

Gunsmith was nowhere to be seen for multiple months but according to rumors, he was taking a ""business trip"" to the other side of the border but has now returned to his beloved bunker in Area 05."	"Оружейник — торговец, который ведёт оружейный склад в одном из бункеров Аванпоста и специализируется на всём, что связано с огнестрельным оружием.

Оружейника не было видно несколько месяцев, но по слухам, он совершал «деловую поездку» на другую сторону границы и теперь вернулся в свой любимый бункер в Зоне 05."
Outpost gets compromised	Аванпост скомпрометирован
"Given the previous events, the situation at the Border Zone is escalating quickly and nearby areas face the consequences.

Military BTR's can now enter the Outpost map and Area 05 is no longer considered safe.

News of the event spread quickly among Area 05 locals and traders, but it is only considered rumors by the media and authorities outside of Area 05."	"Учитывая предыдущие события, ситуация в Пограничной Зоне быстро обостряется, и прилегающие районы ощущают последствия.

Военные БТРы теперь могут входить на карту Аванпоста, и Зона 05 больше не считается безопасной.

Новости о событии быстро распространились среди местных жителей и торговцев Зоны 05, однако за её пределами средства массовой информации и власти считают это лишь слухами."
Traders leave Area 05	Торговцы покидают Зону 05
"After the Outpost was compromised, all traders started making preparations and leaving Area 05.

It seems that the traders are doing this as a temporary measure and will return if and when things calm down."	"После того как Аванпост был скомпрометирован, все торговцы начали готовиться к отъезду из Зоны 05.

Похоже, торговцы делают это как временную меру и вернутся, если и когда обстановка успокоится."
Traders return to Area 05	Торговцы возвращаются в Зону 05
"The escalation of recent events has seemed to stop and Area 05 did not spiral into full chaos.

All traders are returning back to Area 05."	"Эскалация последних событий, похоже, остановилась, и Зона 05 не погрузилась в полный хаос.

Все торговцы возвращаются в Зону 05."
Transmission	Передача
"The signal that started it all has suddenly reappeared.

The transmission is interfering with radio broadcasts and can be heard on all common frequencies.

This is the last event of Early Access [Build 1]. The events and story will continue in upcoming builds."	"Сигнал, с которого всё началось, внезапно появился снова.

Передача мешает радиовещанию и слышна на всех общих частотах.

Это последнее событие Раннего доступа [Build 1]. События и история продолжатся в следующих сборках."
Inventory	Инвентарь
Primary	Основное
Secondary	Вторичное
Vital	Показатель
Task Notes empty	Заметки заданий пусты
Task Notes not available (Tutorial)	Заметки заданий недоступны (Обучение)
Map not equipped	Карта не надета
Map not usable (Vostok)	Карта недоступна (Vostok)
