WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	全能型選手重返村莊	Place holder text. Don't need to Translate		
Events	PlaceHolder	Type	0	ignore									Trader			Place holder text. Don't need to Translate		
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"「醫生」是一位專精於醫療的交易商，他在第05區一棟廢棄的校舍內開設了一間臨時診所。

在前往探望「奶奶」進行「關懷訪視」後，醫生回到這間診所，準備為受傷的人們提供醫療服務。"	Place holder text. Don't need to Translate		
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	顯示			
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	第 1 天			
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	Day {str}			
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	10天後	Place holder text. Don't need to Translate. Use Pattern instead		
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	In {str} Days			
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} Event			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	交易者活動	I don't know why is this string use lower case (event).		
Events	/	Type	0	substr									Trader Event	670	交易者活動			
Events	/	Type	0	substr									Dynamic Event	672	動態活動			
Events	/	Type	0	substr									Special Event	674	特別活動			
Events	/	Type	0	substr									Dynamic	676	動態			
Events	/	Type	0	substr									Special	678	特別版			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	活動地點：			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	682	村莊			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	684	活動可能性：			
Events	/	Percent	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	686	保證			
Events	/	Percent	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	688	約 5% / 地圖實例	"Dynamically Changed on Event.gd
Maybe a Placeholder"		
Events	/	Percent	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance	690	~{str}% / map instance			
Events	List/Day1	Name	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	692	全能型選手重返村莊			
Events	List/Day1	Type	0	ignore	Events/List/D1_Generalist	tres					type		Trader					
Events	List/Day1	Description	0	literal	Events/List/D1_Generalist	tres					description		"Generalist is a ""jack of all trades"" trader who runs a small shop inside the Village garage building in Area 05 and specializes in common goods.

After taking a small mental break, Generalist is once again back in business and ready to serve his loyal customers with decent prices."	694	"Generalist 是一位「樣樣通」的商人，他在 05 區的 Village 車庫大樓內經營一家小店，專營日常用品。

經過短暫的休息調整後，Generalist 已重新開業，準備以合理的價格為忠實顧客提供服務。"			
Events	List/Day2	Name	0	literal	Events/List/D2_Doctor	tres					name		Doctor returns to School	696	醫生重返校園			
Events	List/Day2	Type	0	ignore	Events/List/D2_Doctor	tres					type		Trader					
Events	List/Day2	Description	0	literal	Events/List/D2_Doctor	tres					description		"Doctor is a trader who specializes in medicine and holds an improvised clinic inside an abandoned school building in Area 05.

After visiting Grandma for a ""welfare check,"" Doctor returns to his clinic and is ready to provide medical services for the injured."	698	"「醫生」是一位專精於醫療的商人，他在第05區一棟廢棄的校舍內開設了一間臨時診所。

在探訪「奶奶」進行「安康確認」後，醫生回到診所，準備為傷者提供醫療服務。"			
Events	List/Day3	Name	0	literal	Events/List/D3_Fighters	tres					name		Fighter Jets	700	戰鬥機			
Events	List/Day3	Type	0	ignore	Events/List/D3_Fighters	tres					type		Dynamic					
Events	List/Day3	Description	0	literal	Events/List/D3_Fighters	tres					description		"After the Area 05 evacuation and Border Zone demilitarization, things have started to take a wrong turn and a show of force is needed.

The Finnish military will start performing non-lethal, high-visibility aerial flybys with fighter jets that appear in the sky frequently."	702	"在第05區疏散及邊境區非軍事化後，局勢開始朝錯誤方向發展，亟需展現武力。

芬蘭軍方將開始派遣戰鬥機進行非致命性、高能見度的空中巡邏，這些戰機將頻繁現身於天際。"			
Events	List/Day4	Name	0	literal	Events/List/D4_Cat	tres					name		Missing Cat	704	走失的貓			
Events	List/Day4	Type	0	ignore	Events/List/D4_Cat	tres					type		Special					
Events	List/Day4	Description	0	literal	Events/List/D4_Cat	tres					description		"Grandma's cat has gone missing after a sonic boom from a fighter jet spooked the cat and it ran away.

A few days ago, Nomads found the cat wandering in the Outpost and managed to capture it with some sort of box. Once the Nomads started to deliver the cat back to Grandma, they were ambushed by Bandits who apparently took the box.

Locals saw the Bandits tossing the box around in a cruel way and eventually leaving the box somewhere."	706	"一架戰鬥機發出的音爆嚇跑了奶奶的貓，導致牠失蹤。

幾天前，遊牧民在前哨站發現這隻貓在四處遊蕩，並設法用某種箱子將牠捕獲。當遊牧民正要將貓送回給奶奶時，遭到匪徒伏擊，匪徒似乎搶走了那個箱子。

當地居民目睹匪徒以殘忍的方式將箱子拋來拋去，最後將箱子遺棄在某處。"			
Events	List/Day5	Name	0	literal	Events/List/D5_Punisher	tres					name		Punisher arrives to Area 05	708	「懲罰者」抵達第05區			
Events	List/Day5	Type	0	ignore	Events/List/D5_Punisher	tres					type		Dynamic					
Events	List/Day5	Description	0	literal	Events/List/D5_Punisher	tres					description		"Punisher is a bandit boss and a feared debt collector in the Finnish criminal world.

Punisher and his minions have stolen a local police van and are taking routine drives across Area 05."	710	"「懲罰者」是芬蘭犯罪世界中一名匪幫頭目，也是令人聞風喪膽的討債人。

懲罰者與他的手下竊取了一輛當地警用廂型車，正駕車在第05區內四處巡邏。"			
Events	List/Day6	Name	0	literal	Events/List/D6_Airdrops	tres					name		Airdrops are delivered to Area 05	712	空投物資已送達第05區			
Events	6	Type	0	ignore	Events/List/D6_Airdrops	tres					type		Dynamic					
Events	List/Day6	Description	0	literal	Events/List/D6_Airdrops	tres					description		"After a long delay, the Finnish military has once again started delivering airdrops to Area 05.

Airdrops usually contain humanitarian aid such as medicals, consumables and other relevant survival gear."	714	"經過長時間的延遲，芬蘭軍方已再次開始向第05區進行空投。

空投物資通常包含醫療用品、消耗品及其他相關生存裝備等人道主義援助物資。"			
Events	List/Day7	Name	0	literal	Events/List/D7_BTR	tres					name		BTR Patrols	716	BTR 巡邏			
Events	List/Day7	Type	0	ignore	Events/List/D7_BTR	tres					type		Dynamic					
