WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	全能型选手重返村庄	Place holder text. Don't need to Translate		
Events	PlaceHolder	Type	0	ignore									Trader			Place holder text. Don't need to Translate		
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"医生是一位专攻医疗的商人，在05区一栋废弃的校舍内开设了一间临时诊所。

在去探望老奶奶进行“福利探访”后，医生回到这间诊所，准备为伤者提供医疗服务。"	Place holder text. Don't need to Translate		
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	显示			
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	第1天			
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	Day {str}			
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	10天后	Place holder text. Don't need to Translate. Use Pattern instead		
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	In {str} Days			
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} Event			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	交易者活动	I don't know why is this string use lower case (event).		
Events	/	Type	0	substr									Trader Event	670	交易者活动			
Events	/	Type	0	substr									Dynamic Event	672	动态事件			
Events	/	Type	0	substr									Special Event	674	特别活动			
Events	/	Type	0	substr									Dynamic	676	动态			
Events	/	Type	0	substr									Special	678	特别版			
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	活动地点：			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	682	村庄			
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	684	活动可能性：			
Events	/	Percent	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	686	保证			
Events	/	Percent	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	688	约5% / 地图实例	"Dynamically Changed on Event.gd
Maybe a Placeholder"		
Events	/	Percent	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance	690	~{str}% / map instance			
Events	List/Day1	Name	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	692	全能型选手重返村庄			
Events	List/Day1	Type	0	ignore	Events/List/D1_Generalist	tres					type		Trader					
