WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	Könnyű		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	Átlagos		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	Nehéz		
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	1. bemutató feladat (egyszerű)		
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy				
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"Kezdjük valami egyszerűvel!

Menj az tárgyak menüjébe, és vedd ki onnan a konzerv borsólevest. Miután a szállítandó tárgyat a táskádba tetted, kövesd az alábbi lépéseket.
1. 'Kattintson a „Szállítás indítása” gombra.
2. 'Válassza a „konzerv borsólevest”.
3. 'Kattintson a „Befejezés” gombra."	"Please pay attention to the following points when translating:
- 'Canned Pea Soup'
- 'Start Delivery'
- 'Complete'"	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	Oktatóanyag-megbízás 2 (bonyolult)		
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate				
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"Most egy kicsit bonyolultabbá tesszük.

Egyes küldetésekhez olyan speciális alapanyagokra van szükség, mint például a „húsgombóc (főzve)”, amelyeket kizárólag „készítéssel” lehet megszerezni.

Válaszd ki a tárgyak listájából a „húsgombóc konzervet”, a „csajkát” és a „vizes palackot”. Szükséged lesz még „gyufára” is, amit a felszerelés listájából válaszhatsz ki vagy vásárolhatsz a kereskedőnél.

Ezután kattints az „Eszközök” menüben a „Készítés” gombra, és keress rá a „Sült húsgombóc” receptre. A receptben szerepel egy „hőforrás” feltétel, ami azt jelenti, hogy a recept elkészítéséhez szükség van egy kemencére vagy hasonló hőforrásra.

'A „Főtt húsgombóc” elkészítéséhez kövesse az alábbi lépéseket.
1. Menj a kandallóhoz, vedd fel a „gyufát”, és gyújtsd meg.
2. 'Ha megnyitod a „Főtt húsgombóc” receptet, a hőforrás szimbólum zöldre vált.
3. 'Kattintson a „Beállítás indítása” gombra.
4. 'Válassza ki a „csajka”, a „húsgombóc konzerv” és a „palack” lehetőségeket.
5. 'Kattintson a „Beállítás indítása” gombra.

Most, hogy sikeresen elkészítetted a küldetéshez szükséges tárgyakat, befejezheted a küldetést."	"Please pay attention to the following points when translating:
- 'Meatballs (Cooked)'
- 'Canned Meatballs'
- 'Mess Kit'
- 'Water Bottle'
- 'matches'
- 'Heat'
- 'Firepot'
- 'Start Input'"	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	Oktatóanyag-megbízás (bútorok)		
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard				
Tasks	Generalist/Tutorial/03	description	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					description		"There's one more thing to learn.

Some items that you might receive from crafting, trading or tasks are Furniture items, which are used for shelter customization.

Once you receive a Furniture item, it will be stored to a separate inventory called the Furniture Catalog, so it doesn't appear in your normal inventory.

Furniture Catalog is only accessible when you are inside of shelters, but you will always receive a message ""New Furniture Added [Catalog]"" when the catalog is updated.

Try getting new furniture by completing this task:
1. Press Start Delivery
2. Select Potato
3. Press Complete
4. Notice the message ""New Furniture Added [Catalog]""

You can learn more about shelter customization and Furniture Catalog from the tutorial billboard called Shelters."	2802	"Van még egy dolog, amit tudnod kell.

A „gyártás”, „kereskedelem” vagy „megbízás” útján megszerezhető tárgyak között vannak olyan „bútorok”, amelyekkel a menedéket lehet berendezni.

A bútorok megszerzése után azok a „Bútor katalógus” nevű külön táskába kerülnek, ezért nem jelennek meg a normál táskában.
A „Bútor katalógus” csak a „Menedékhely” belsejéből érhető el, és amikor a katalógus frissül, megjelenik a „[Katalógus] Új bútorok kerültek hozzáadásra” üzenet.

Végezd el a következő feladatot, és szerezz új bútorokat!
1. 'Kattintson a „Szállítás indítása” gombra.
2. 'Válassza ki a „burgonya” lehetőséget.
3. 'Kattintson a „Befejezés” gombra.
4. Ellenőrizze, hogy megjelenik-e a „Új bútor hozzáadva [Katalógus]” üzenet.

A rejtekhely berendezésével és a bútorkatalógussal kapcsolatos részletes információkat a „Rejtekhely” nevű oktatóanyag-fórumon találhatod meg."	"Please pay attention to the following points when translating:
- 'Furniture'
- 'shelter'
- 'Furniture Catalog'
- 'New Furniture Added [Catalog]'
- 'Start Delivery'
- 'Potato'
- 'Complete'
- 'tutorial'
- 'Shelters'"	
Tasks	Generalist/01	name	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					name		Prime Time	2804	Ne hagyd ki az élő adást!		
Tasks	Generalist/01	difficulty	0	ignore	Traders/Generalist/Tasks/01_Prime_Time	tres					difficulty		Easy				
