text	translation
Selected	선택됨
Forward	앞으로
Backward	뒤로
Left	왼쪽으로
Right	오른쪽으로
Crouch	웅크리기
Jump	점프
Sprint	달리기
Lean Left	왼쪽으로 기울이기
Lean Right	오른쪽으로 기울이기
Draw Primary	주무기 꺼내기
Draw Secondary	보조무기 꺼내기
Draw Knife	칼 꺼내기
Draw Grenade 1	수류탄 꺼내기 1
Draw Grenade 2	수류탄 꺼내기 2
Raise Weapon	무기 올리기
Lower Weapon	무기 내리기
Aim	조준
Canted Aim	기울여 조준
Fire	발사
Reload	재장전
Ammo Check	잔탄 확인
Firemode	조정간 (사격 방식)
Inspect Weapon	무기 살펴보기
Prepare Insert	삽입 준비
Insert Cartridge	탄창 삽입
Interact	상호작용
Place	배치
Decor Mode	장식 모드
Flashlight	손전등
NVG	야간투시경
Laser	레이저
Rail Movement	레일 이동
Secondary Optic	보조 조준경
Interface	인터페이스
Rotate Item	아이템 회전
Fast Transfer	빠른 옮기기
Fast Equip	빠른 장착
Fast Drop	빠른 버리기
Doctor	의사
Generalist	잡화상
Gunsmith	총잡이
