text	translation
Airdrop	空投
Tutorial Crate	教學資源包
Electric Box	電箱
Medical Cabinet	藥櫃
Office Cabinet	辦公櫃
Cabinet	內閣
Corpse	屍體
Bandit Corpse	盜賊屍體
Crate Military	Crate Military
Crate Special	木箱特惠
Wooden Crate	木箱
Garbage	垃圾
Fireplace	壁爐
Freezer	冷凍庫
Fridge	冰箱
Fusebox	Fusebox
Locker	置物櫃
Mailbox	信箱
Nightstand	床頭櫃
Boxes	盒子
Stove	爐子
Furniture	家具
Furnitures	家具
Bed (Civilian)	床（民用）
Bed C.	床 C.
Bed (Nomad)	床（Nomad）
Bed N.	貝德·N.
Cabinet (Medical)	內閣（醫療）
Cabinet M.	M. 櫥櫃
Cabinet (Office)	內閣（辦公室）
Cabinet. 0	櫥櫃。0
Cabinet (Wood)	櫥櫃（木製）
Cabinet W.	W. 櫥櫃
Carpet (Persian)	地毯（波斯）
Carpet P.	地毯 P.
Carpet (Rag)	地毯（碎布）
Carpet R.	地毯 R.
Chair (Office)	椅子（辦公用）
Chair O.	主席 O.
Chair (School)	系主任
Chair S.	主席 S.
Sun Chair	Sun Chair
S. Chair	S. 主席
Crate (Military)	軍用貨櫃
Crate M.	克雷特·M.
Crate (Special)	箱子（特殊）
Crate S.	克雷特·S.
Cupboard	櫥櫃
C. Board	C. 董事會
Curtain (Long)	窗簾（長款）
Curtain L.	柯坦·L.
Curtain (Mini)	窗簾（迷你款）
Curtain M.	柯坦·M.
Dartboard	飛鏢靶
D. Board	D. 董事會
N. Stand	N. 展位
Painting (Lake)	油畫（湖）
Painting L.	繪畫 L.
Pallet	托盤
Poster (Posture)	海報（姿勢）
Poster P.	P. 海報
Rack (Coat)	衣架（外套用）
Rack C.	C 機架
Rya (Maria)	瑞亞（瑪麗亞）
Rya M.	Rya M.
Shelf (Metal)	層架（金屬製）
Shelf M.	Shelf M.
Shelf (Wall)	壁掛式層架
Shelf W.	Shelf W.
Shelf (Wood)	層架（木製）
Sign (Border Zone)	標誌（邊境區）
Sign BZ.	請簽署 BZ。
Sofa (Leather)	沙發（皮質）
Sofa L.	沙發 L.
Stool (Military)	軍用凳
Stool M.	斯圖爾·M.
Stool (Padded)	凳子（軟墊款）
Stool P.	斯圖爾·P.
Table (Cabin)	餐桌（艙內）
Table C.	表 C.
Table (Canteen)	餐桌（食堂）
Table (Kitchen)	餐桌（廚房用）
Table K.	表 K.
Table (Office)	桌子（辦公用）
Table. O	表 O
Target Stand	標靶架
Target S.	目標 S.
Television	電視
TV	電視
Trolley (Short)	手推車（短款）
Trolley S.	Trolley S.
Trolley (Tall)	手推車（高款）
Trolley T.	Trolley T.
Weapon Display	武器展示
Weapon D.	武器 D.
Trader Event	交易者活動
Dynamic Event	動態活動
Special Event	特別活動
Dynamic	動態
Special	特別版
Guaranteed	保證
Inventory	庫存
Primary	小學
Secondary	中學
Vital	至關重要
Task Notes empty	任務備註為空
Task Notes not available (Tutorial)	任務筆記無法使用（教學）
Map not equipped	未裝備地圖
Map not usable (Vostok)	地圖無法使用（沃斯托克）
Casette Player not equipped	未配備卡式錄音機
Casette Player power 0%, recharge player	卡式播放器電量 0%，請為播放器充電
Casette Player empty, insert casette	卡帶播放器為空，請放入卡帶
Override Ambient Music [ON]	覆寫環境音樂 [開啟]
Override Ambient Music [OFF]	覆寫環境音樂 [關閉]
Sleep	睡眠
Level 2	第 2 級
Level 3	第 3 級
Level 4	第 4 級
Level 5	第 5 級
Heat required	需加熱
Workbench required	需配備工作檯
Shelter required	需要庇護所
Start Input	開始輸入
Stop Input	停止輸入
Reset Input	重設輸入
Start Delivery	開始配送
Stop Delivery	暫停配送
Delivered	已送達
CBRN	CBRN
Overweight	超重
Explosion	爆炸
Fall	秋季
Day	日
Common	常見
Rare	稀有
Legendary	傳奇
Armor Plate	裝甲板
Armor	護甲
Armor Plate {class}	裝甲板 {class}
Armor Plate (II)	護甲板（II）
Armor Plate (III+)	裝甲板（III+）
Armor Plate (III)	裝甲板（III）
Armor Plate (IIIA)	護甲板（III級A型）
Armor Plate (IV)	護甲板（IV）
Backpack	後背包
Jääkäri Backpack (Black)	Jääkäri 後背包（黑色）
Jääkäri BP.	Jääkäri BP.
Jääkäri Backpack (Brown)	Jääkäri 後背包（棕色）
Jääkäri Backpack (Green)	Jääkäri 後背包（綠色）
Jääkäri Backpack (M05)	Jääkäri 後背包 (M05)
Nomad Backpack	Nomad 後背包
Nomad BP.	Nomad BP。
Patrol Backpack	巡邏背包
Patrol BP.	巡邏 BP。
Duffel (Retro)	杜弗爾 (復古風)
R. Duffel	R. 達菲爾
Belt Pouch	腰包
Kukkaro (Black)	Kukkaro（黑色）
Kukkaro	庫卡羅
Kukkaro (Brown)	庫卡羅（棕色）
Kukkaro (Green)	庫卡羅（綠色）
Kukkaro (M05)	庫卡羅 (M05)
Literature	文學
Book (Children)	書籍（兒童）
Children	兒童
Book (Cooking)	書籍（烹飪）
Cooking	烹飪
Book (Fishing)	書籍（釣魚）
Book (Religion)	書籍（宗教）
Religion	宗教
Clothing	服裝
Flame Beanie	火焰毛線帽
F. Beanie	F. 貝尼
Combat Boots	戰鬥靴
C. Boots	C. 靴子
M62 Cap	M62 帽
Tactical Fleece (Brown)	戰術抓絨外套（棕色）
T. Fleece	T. Fleece
Tactical Fleece (Green)	戰術抓絨外套（綠色）
Leather Gloves	皮手套
L. Gloves	L. 手套
Work Gloves	工作手套
W. Gloves	W. 手套
Mosquito Hat	防蚊帽
M. Hat	M. Hat
Sauna Hat	桑拿帽
S. Hat	S. Hat
Hoodie (Border Zone)	連帽衫（邊境地帶）
Hoodie BZ.	連帽衫 BZ。
Hoodie B.	胡迪·B.
Hoodie (Gray)	連帽衫（灰色）
Hoodie	連帽衫
M62 Jacket	M62 夾克
M62 J.	M62 J.
Santa Jacket	聖誕老人外套
Santa J.	聖塔·J.
Winter Jacket (Blue)	冬季外套（藍色）
Winter Jacket	冬季外套
Winter Jacket (Red)	冬季外套（紅色）
Winter J.	溫特·J.
Jeans (Black)	牛仔褲（黑色）
Jeans	牛仔褲
Hiking Pants	登山褲
Hiking P.	P. 健行
Windbreaker (Black)	防風外套（黑色）
Windbreaker	防風外套
Windbr.	Windbr.
Windbreaker (Green)	防風外套（綠色）
Consumables	耗材
Consumable	耗材
Drink	飲品
Eat	吃
Eat Raw	生食
Eat (Raw)	吃（生食）
Chew	嚼
Smoke	煙
Use	使用
Beer	啤酒
Empty Can	空罐
Can	可以
Canned Meat	罐裝肉
Meat	肉類
Canned Meatballs	罐裝肉丸
Meatballs	肉丸
Canned Pea Soup	罐裝豌豆湯
Pea Soup	豌豆湯
Canned Peaches	罐裝水蜜桃
Peaches	水蜜桃
Canned Pear	罐裝梨
Pear	梨
Canned Peas	罐裝豌豆
Peas	豌豆
Canned Pineapple	罐裝鳳梨
Pineapple	鳳梨
Canned Tomatoes	番茄罐頭
Tomatoes	番茄
Canned Tuna	金槍魚罐頭
Tuna	鮪魚
Cat Food	貓糧
War Chocolate	戰爭巧克力
W. Choco	W. Choco
Cigarettes	香菸
Cigs	香菸
Cigars	雪茄
Coffee	咖啡
Coffee (Brewed)	咖啡（沖泡）
C. Brewed	C. 釀造
Fish Soup (Cooked)	魚湯（煮好的）
F. Soup (Cooked)	F. 湯（煮熟的）
F. Soup	F. 湯
Meatballs (Cooked)	肉丸（已煮熟）
M. Balls (Cooked)	M. 肉丸（熟食）
M. Balls	M. 鮑爾斯
Pea Soup (Cooked)	豌豆湯（煮熟的）
P. Soup (Cooked)	P. 湯（煮熟的）
P. Soup	P. Soup
Tomato Soup (Cooked)	番茄湯（煮好的）
T. Soup (Cooked)	T. 湯（煮熟的）
T. Soup	T. Soup
Crackers	脆餅
Energy Drink	能量飲料
E. Drink	E. 飲品
Energy Powder	能量粉
E. Powder	E. 粉末
Field Ration	野戰口糧
F. Ration	F. 口糧
Juice	果汁
Juice (Orange)	果汁（柳橙）
Juice O.	Juice O.
Juice (Pear)	果汁（梨）
Juice P.	Juice P.
