text	translation
Compatibility	相容性
Selected	已選取
Press key to bind...	按下按鍵以綁定...
Forward	前言
Backward	返回
Left	左
Right	對
Crouch	克勞奇
Jump	跳轉
Sprint	Sprint
Lean Left	向左傾
Lean Right	向右傾
Draw Primary	繪製主圖
Draw Secondary	繪製次要圖層
Draw Knife	刨刀
Draw Grenade 1	繪製手榴彈 1
Draw Grenade 2	繪製手榴彈 2
Raise Weapon	舉起武器
Lower Weapon	放下武器
Aim	目的
Canted Aim	傾斜瞄準
Fire	火
Reload	重新載入
Ammo Check	彈藥檢查
Firemode	火模式
Inspect Weapon	檢查武器
Prepare Insert	準備插入
Insert Cartridge	插入墨盒
Interact	互動
Place	地點
Decor Mode	裝飾模式
Flashlight	手電筒
NVG	NVG
Laser	雷射
Rail Movement	軌道移動
Secondary Optic	次級光學元件
Interface	介面
Rotate Item	旋轉項目
Fast Transfer	快速傳輸
Fast Equip	快速裝備
Fast Drop	快速下墜
Left Mouse Button	滑鼠左鍵
Right Mouse Button	滑鼠右鍵
Middle Mouse Button	滑鼠中鍵
Mouse Wheel Up	滑鼠滾輪向上
Mouse Wheel Down	滑鼠滾輪向下
Mouse Thumb Button 1	滑鼠拇指按鈕 1
Mouse Thumb Button 2	滑鼠拇指按鈕 2
UI Scaling	UI 縮放
Loading...	載入中...
Skip Intro [SPACE]	跳過介紹 [空格鍵]
All save files deleted	所有儲存檔已刪除
Character died	角色死亡
Intro	簡介
Cabin	艙室
Shelter	庇護所
Tutorial	教學指南
Menu	選單
Attic	閣樓
Death	死亡
Classroom	教室
Tent	帳篷
Bunker	掩體
Village	村莊
Area 05	第05區
Highway	高速公路
School	學校
Outpost	前哨站
Border Zone	邊境地帶
Minefield	雷區
Apartments	公寓
Terminal	終端機
Tutorial Exit	教學結束
Template	範本
shaders	著色器
Trader	交易員
Generalist	通才
Doctor	醫生
Gunsmith	槍械師
Driver	駕駛員
Grandma	奶奶
Shaman	薩滿
Fisherman	漁夫
Scientist	科學家
Bandit	強盜
Guards	守衛
Military	軍事
Punisher	懲罰者
Neutral	中立
Overcast	陰天
Rain	雨
Storm	風暴
Generic	通用
Wood	木
Metal	金屬
Concrete	混凝土
Rock	搖滾
Vostok	沃斯托克
Inventory	庫存
Primary	小學
Secondary	中學
Vital	至關重要
Task Notes empty	任務備註為空
Task Notes not available (Tutorial)	任務筆記無法使用（教學）
Map not equipped	未裝備地圖
Map not usable (Vostok)	地圖無法使用（沃斯托克）
Casette Player not equipped	未配備卡式錄音機
Casette Player power 0%, recharge player	卡式播放器電量 0%，請為播放器充電
Casette Player empty, insert casette	卡帶播放器為空，請放入卡帶
Override Ambient Music [ON]	覆寫環境音樂 [開啟]
Override Ambient Music [OFF]	覆寫環境音樂 [關閉]
Sleep	睡眠
Level 2	第 2 級
Level 3	第 3 級
Level 4	第 4 級
Level 5	第 5 級
Heat required	需加熱
Workbench required	需配備工作檯
Shelter required	需要庇護所
Start Input	開始輸入
Stop Input	停止輸入
Reset Input	重設輸入
Start Delivery	開始配送
Stop Delivery	暫停配送
Delivered	已送達
CBRN	CBRN
Overweight	超重
Explosion	爆炸
Fall	秋季
Day	日
Easy	簡單
Intermediate	中級
Hard	困難
Tutorial Task 1 (Simple)	教學任務 1（簡單）
"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"我們先從簡單的事情開始吧。

前往「物品」看板，選取「豌豆濃湯罐頭」。將配送物品放入背包後：
1. 按下「開始配送」
2. 選取「豌豆濃湯罐頭」
3. 按下「完成」"
Tutorial Task 2 (Complex)	教學任務 2（進階）
"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"現在讓我們增加一點難度。

有些任務可能需要透過製作獲得的交付物品，例如這個任務需要「肉丸（熟）」，而這只能透過製作取得。

前往「物品」看板，取走「罐裝肉丸」、「野餐盒」和「水壺」。你還需要火柴，可以在「裝備」看板中找到。

接著，透過「製作」按鈕在「工具」介面中找到「熟肉丸」的配方。查看配方時，會發現它有「熱源」的近距離要求，這表示你需要一個熱源才能解鎖該配方。

要製作「熟肉丸」，請按照以下步驟操作：
1. 前往火鍋，裝備火柴並點燃火源
2. 開啟「熟肉丸」的配方，確認熱量圖示已轉為綠色
3. 按下「開始輸入」
4. 選擇野餐盒、罐裝肉丸和水瓶
5. 按下「製作」

現在你已成功製作出任務所需的物品，可以完成這項任務了。"
Tutorial Task 3 (Furniture)	教學任務 3（家具）
"There's one more thing to learn.

Some items that you might receive from crafting, trading or tasks are Furniture items, which are used for shelter customization.

Once you receive a Furniture item, it will be stored to a separate inventory called the Furniture Catalog, so it doesn't appear in your normal inventory.

Furniture Catalog is only accessible when you are inside of shelters, but you will always receive a message ""New Furniture Added [Catalog]"" when the catalog is updated.

Try getting new furniture by completing this task:
1. Press Start Delivery
2. Select Potato
3. Press Complete
4. Notice the message ""New Furniture Added [Catalog]""

You can learn more about shelter customization and Furniture Catalog from the tutorial billboard called Shelters."	"還有一個要點需要了解。

透過製作、交易或任務獲得的某些物品屬於「家具」類別，這些物品可用於自訂庇護所。

一旦獲得家具，它將會存放在一個名為「家具目錄」的獨立背包中，因此不會出現在你的普通背包裡。

「家具目錄」僅在您身處庇護所內時才能存取，但當目錄更新時，您將始終收到「新增家具 [目錄]」的訊息。

試著透過完成以下任務來獲取新家具：
1. 按下「開始配送」
2. 選擇「馬鈴薯」
3. 按下「完成」
4. 留意「新增家具 [目錄]」的訊息

您可透過名為「庇護所」的教學告示牌，進一步了解庇護所自訂功能與家具目錄。"
Prime Time	黃金時段
"Well, well... you must be that guy the Nomads found last week. Didn't they put you up in that old tiny cabin? We used to get drunk and play poker there sometimes, but that place always gave me a headache, I'm pretty sure there's asbestos in the ceiling or something.

Nevertheless, you’ve arrived at the prime time, because I’m out of toilet paper and the situation is getting urgent.

Speaking of prime time, I just finished repairing some electronics and I have this fully functional TV ready to go. Mark my words, at the moment, this is the only working TV in Area 05.

If you bring me that toilet paper, the TV is yours. It has all the channels pre-configured, vibrant colors and prime time shows are running as we speak."	"哎唷，哎唷……你應該就是遊牧民上週發現的那個人吧。他們不是把你安排在那間又舊又小的木屋裡嗎？我們以前偶爾會在那裡喝得爛醉打撲克，但那地方總讓我頭痛，我敢肯定天花板裡有石棉之類的東西。

不過，你來得正是時候，因為我用完衛生紙了，情況已經很緊急了。

說到黃金時段，我剛修好幾台電子設備，這台功能完好的電視已經準備好了。記住我的話，目前這可是 05 區唯一能用的電視。

如果你把衛生紙帶給我，這台電視就是你的。所有頻道都已預先設定好，色彩鮮豔，而且就在此刻，黃金時段的節目正在播放中。"
Bad Habits	壞習慣
"A while ago, I visited the Doctor in that abandoned school nearby. He told me that I should cut out all my ""bad habits,"" but the old fucker smokes himself, so screw him!

You're probably just one of those modern-day hippies who only licks mint pastilles when things get rough, but if you happen to find one of these, bring a pack or two and some matches as well."	"前陣子，我去附近那所廢棄學校找醫生看診。他告訴我應該戒掉所有「壞習慣」，但那老混蛋自己不也抽菸嗎，去他的！

你大概只是那種遇到困難時只會舔薄荷糖的現代嬉皮，但如果你剛好找到這種東西，記得帶上一兩包，順便帶些火柴來。"
Backpains	背痛
"When you get to my age, everything hurts and your body is like those French cars, constant issues and in need of repair.

I usually don't complain, but my fucking back is killing me. Every morning when I wake up, it feels like a gunshot directly to my spine. It won't be long until you're just like me and those cursed French cars.

If you happen to find something that could help with my back, I would highly appreciate it."	"到了我這個年紀，全身都痠痛，身體就像那些法國車一樣，問題不斷，總得修修補補的。

我平常不太愛抱怨，但這該死的背痛得要命。每天早上醒來，感覺就像脊椎被直接開了一槍。用不了多久，你也會變成像我這樣，跟那些該死的法國車一樣。

如果你剛好找到什麼能緩解我背痛的東西，我會非常感激的。"
Coffee Reserve	精選咖啡
"There are few things in life that are non-negotiable. There's morning coffee at 6:00, afternoon coffee at 12:00 and dinner coffee at 18:00. When manual labor is involved, coffee breaks in between are also mandatory and basically prescribed by law.

If you want to remain alive here in Area 05, the constant flow of caffeine should be your primary goal.

As a matter of fact, I should probably increase my strategic coffee reserve a bit, since the consumption lately has been above average."	"人生中沒幾件事是不可妥協的。早上6點的晨間咖啡、中午12點的午間咖啡，以及晚上6點的晚餐咖啡。若涉及體力勞動，其間的咖啡休息時間更是不可或缺，基本上可說是法律規定的。

若想在05區活下去，確保咖啡因源源不絕地流入體內，應是你的首要目標。

說實話，我大概該稍微增加我的戰略咖啡儲備了，畢竟最近的消耗量已高於平均水準。"
Sweaty Business	大汗淋漓的生意
"The days out here are long and sweaty, especially in the summertime.

Since air conditioning, showers and running water are just a faint memory from the past, it's important that you maintain personal hygiene and odor control for the sake of the others. You might wonder why not just go wash in the lake or sea? Well, let me tell you why that's a bad idea.

After the initial explosion, these waters are far from refreshing and there's something nasty going on. I have seen so many dead fish lately that my ass is not going into that water, that's for sure and I highly recommend the same for you.

It’s a sweaty business, but we just have to figure out some alternative methods to stay fresh."	"在這邊的日子漫長又悶熱，尤其是夏天。

既然空調、淋浴和自來水都只是過去的模糊記憶，為了不影響他人，保持個人衛生和控制體味就顯得格外重要。你可能會想：為什麼不直接去湖裡或海裡洗澡呢？好吧，讓我告訴你為什麼這不是個好主意。

經歷了最初的「爆炸」後，這些水體早已不復清涼，而且水裡正醞釀著些骯髒的東西。最近我見過太多死魚，我的屁股絕對不會踏進那水裡，這點可以肯定，我也強烈建議你別這麼做。

這確實是件令人汗流浹背的事，但我們只能想辦法找出其他替代方案來保持清爽。"
Handyman	萬能工匠
"You know that old lady who still lives near the Border Zone? Well, she's blind and no matter how many times I have warned her about electronics, she keeps fiddling around with different buttons and then everything gets messed up!

Now there's a broken stove, the freezer has melted and apparently the radio is once again ""misbehaving."" On top of this, during a storm last week, a tree fell directly onto her porch roof and it has now somewhat collapsed, so we are dealing with a clusterfuck of issues.

I'm getting tired of being her handyman, but I promised to help this one last time."	"你還記得那位仍住在邊境區附近的老太太嗎？她失明了，不管我警告過她多少次關於電子設備的事，她還是不停地亂按各種按鈕，結果把一切都搞亂了！

現在爐子壞了，冷凍庫的冰都融化了，聽說收音機又開始「鬧彆扭」了。更糟的是，上週那場暴風雨中，一棵樹直接砸中她門廊的屋頂，導致屋頂部分坍塌，所以我們現在得處理一堆亂七八糟的問題。

我已經厭倦當她的萬能修理工了，但我答應過這會是最後一次幫忙。"
Six Pack	六塊肌
