WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	簡單			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	中級			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	困難			
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	教學任務 1（簡單）			
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy				
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"我們先從簡單的事情開始吧。

前往「物品」看板，選取「豌豆濃湯罐頭」。將配送物品放入背包後：
1. 按下「開始配送」
2. 選取「豌豆濃湯罐頭」
3. 按下「完成」"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"		
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	教學任務 2（進階）			
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate				
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"現在讓我們增加一點難度。

有些任務可能需要透過製作獲得的交付物品，例如這個任務需要「肉丸（熟）」，而這只能透過製作取得。

前往「物品」看板，取走「罐裝肉丸」、「野餐盒」和「水壺」。你還需要火柴，可以在「裝備」看板中找到。

接著，透過「製作」按鈕在「工具」介面中找到「熟肉丸」的配方。查看配方時，會發現它有「熱源」的近距離要求，這表示你需要一個熱源才能解鎖該配方。

要製作「熟肉丸」，請按照以下步驟操作：
1. 前往火鍋，裝備火柴並點燃火源
2. 開啟「熟肉丸」的配方，確認熱量圖示已轉為綠色
3. 按下「開始輸入」
4. 選擇野餐盒、罐裝肉丸和水瓶
5. 按下「製作」

現在你已成功製作出任務所需的物品，可以完成這項任務了。"	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"		
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	教學任務 3（家具）			
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard				
