text	translation
Airdrop	空投
Tutorial Crate	教程箱
Electric Box	配电箱
Medical Cabinet	药柜
Office Cabinet	办公柜
Cabinet	内阁
Corpse	尸体
Bandit Corpse	强盗的尸体
Crate Military	Crate Military
Crate Special	木箱特惠
Wooden Crate	木箱
Garbage	垃圾
Fireplace	壁炉
Freezer	冷冻室
Fridge	冰箱
Fusebox	Fusebox
Locker	储物柜
Mailbox	邮箱
Nightstand	床头柜
Boxes	盒子
Stove	炉子
Furniture	家具
Furnitures	家具
Bed (Civilian)	床（民用）
Bed C.	床 C.
Bed (Nomad)	床（游牧者）
Bed N.	床 N.
Cabinet (Medical)	内阁（医疗）
Cabinet M.	M型橱柜
Cabinet (Office)	内阁（办公室）
Cabinet. 0	内阁。0
Cabinet (Wood)	橱柜（木制）
Cabinet W.	W. 内阁
Carpet (Persian)	地毯（波斯）
Carpet P.	地毯 P.
Carpet (Rag)	地毯（碎布）
Carpet R.	地毯 R.
Chair (Office)	椅子（办公用）
Chair O.	O. 主席
Chair (School)	系主任
Chair S.	S. 主席
Sun Chair	Sun Chair
S. Chair	S. 主席
Crate (Military)	军用箱
Crate M.	克雷特·M.
Crate (Special)	箱子（特殊）
Crate S.	克雷特·S.
Cupboard	橱柜
C. Board	C. 董事会
Curtain (Long)	窗帘（长款）
Curtain L.	Curtain L.
Curtain (Mini)	窗帘（迷你款）
Curtain M.	Curtain M.
Dartboard	飞镖靶
D. Board	D. 董事会
N. Stand	N. 展台
Painting (Lake)	绘画（湖）
Painting L.	绘画 L.
Pallet	托盘
Poster (Posture)	海报（姿势）
Poster P.	P. 海报
Rack (Coat)	衣架（挂衣）
Rack C.	C型机架
Rya (Maria)	Rya（玛丽亚）
Rya M.	Rya M.
Shelf (Metal)	金属架
Shelf M.	Shelf M.
Shelf (Wall)	壁挂式搁板
Shelf W.	谢尔夫·W.
Shelf (Wood)	木制书架
Sign (Border Zone)	标志（边境区）
Sign BZ.	请签署BZ。
