WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Events	PlaceHolder	Name	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	652	A szakember visszatért a faluba	Place holder text. Don't need to Translate	
Events	PlaceHolder	Type	0	ignore									Trader			Place holder text. Don't need to Translate	
Events	PlaceHolder	Description	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	654	"Doktor egy gyógyszerekre szakosodott kereskedő, aki az 05-ös körzetben egy elhagyatott iskolaépületben működtet egy rögtönzött rendelőt.

Miután „jólét-ellenőrzés” céljából meglátogatta a nagymamát, a doktor visszatér a klinikára, és készen áll a sérültek ellátására."	Place holder text. Don't need to Translate	
Events	/	Button	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	656	Bővebben		
Events	/	Day	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	658	1 nap		
Events	/	Day	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}	660	{str} Nap		
Events	/	Day Left	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	662	10 nap múlva	Place holder text. Don't need to Translate. Use Pattern instead	
Events	/	Day Left	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days	664	{str} nap múlva		
Events	/	Type	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event	666	{type} Esemény		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	668	Kereskedői esemény	I don't know why is this string use lower case (event).	
Events	/	Type	0	substr									Trader Event	670	Kereskedői esemény		
Events	/	Type	0	substr									Dynamic Event	672	Dinamikus esemény		
Events	/	Type	0	substr									Special Event	674	Különleges esemény		
Events	/	Type	0	substr									Dynamic	676	Dinamikus		
Events	/	Type	0	substr									Special	678	Különleges		
Events	/	Type	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	680	Esemény helye:		
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	682	Falu		
Events	/	Location	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	684	Esemény lehetősége:		
Events	/	Percent	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	686	Garantált		
Events	/	Percent	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	688	~5% / az adott régióban	"Dynamically Changed on Event.gd
Maybe a Placeholder"	
Events	/	Percent	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance	690	~{str}% / az adott terület		
Events	List/Day1	Name	0	literal	Events/List/D1_Generalist	tres					name		Generalist returns to Village	692	A vegyeskereskedő visszatért a faluba	"Please pay attention to the following points when translating:
- `Generalist`
- `Village`"	
Events	List/Day1	Type	0	ignore	Events/List/D1_Generalist	tres					type		Trader				
