location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	Новая игра
Scenes/Menu	Main/Buttons	Load	Button	Load game	Загрузить игру
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	Учебное пособие
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	Настройки
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	План действий
Scenes/Menu	Main/Buttons	About	Button	"About
"	О нас
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	Выйти
Scenes/Menu	Log	Header	Label	Changelog	Список изменений
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	Выкл.
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	О
Scenes/Menu	Hardware	Header	Label	Hardware Check	Проверка оборудования
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	Выкл.
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	О
Scenes/Menu	Intro	Header	Label	Watch Intro	Вступительное видео
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	Выкл.
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	О
Scenes/Menu	Music	Header	Label	Menu Music	Меню Музыка
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	Выкл.
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	О
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	«Road to Vostok ®» является зарегистрированным товарным знаком компании «Road to Vostok Ltd.». Все права защищены © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	Версия: 0.1.1.3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	Список изменений
