WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	Einfach		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	Mittelstufe		
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	Schwer		
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	Übungsaufgabe 1 (einfach)		
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy				
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"Fangen wir mit etwas Einfachem an.

Geh zur Liefertafel und wähle „Erbsensuppe in der Dose“ aus. Sobald du den Lieferartikel in deinem Inventar hast:
1. Klicke auf „Lieferung starten“
2. Wähle „Erbsensuppe in der Dose“ aus
3. Klicke auf „Abschließen“"	"Please pay attention to the following points when translating:
- 'Canned Pea Soup'
- 'Start Delivery'
- 'Complete'"	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	Übungsaufgabe 2 (komplex)		
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate				
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"Machen wir es nun etwas komplexer.

Für manche Aufgaben sind hergestellte Gegenstände erforderlich, wie zum Beispiel in dieser Aufgabe, für die du „Fleischbällchen (gekocht)“ benötigst, die nur durch Herstellen erhältlich sind.

Gehe zum Gegenstand-Pinnwand, nimm „Fleischbällchen in Dosen“, „Essgeschirr“ und „Wasserflasche“. Du benötigst außerdem Streichhölzer, die du auf der Ausrüstung-Pinnwand findest.

Suche als Nächstes über die Handwerks-Schaltfläche in der Werkzeug-Benutzeroberfläche das Rezept für „Fleischbällchen (gekocht)“. Wenn du dir das Rezept ansiehst, wird eine Nahbereichsanforderung namens „Hitze“ angezeigt, was bedeutet, dass du eine Wärmequelle benötigst, um dieses Rezept freizuschalten.

Um die „Fleischbällchen (gekocht)“ herzustellen, gehe wie folgt vor:
1. Gehe zum Feuerkessel, rüste Streichhölzer aus und zünde das Feuer an
2. Öffne das Rezept für „Fleischbällchen (gekocht)“ und achte darauf, dass das Hitzesymbol grün wird
3. Drücke auf „Eingabe starten“
4. Wähle Essgeschirr, Dosenfleischbällchen und Wasserflasche aus
5. Drücke auf „Herstellen“

Nun hast du den erforderlichen Aufgabengegenstand erfolgreich hergestellt und kannst die Aufgabe abschließen."	"Please pay attention to the following points when translating:
- 'Meatballs (Cooked)'
- 'Canned Meatballs'
- 'Mess Kit'
- 'Water Bottle'
- 'matches'
- 'Heat'
- 'Firepot'
- 'Start Input'"	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	Übungsaufgabe 3 (Möbel)		
Tasks	Generalist/Tutorial/03	difficulty	0	ignore	Traders/Generalist/Tutorial/03_Tutorial	tres					difficulty		Hard				
Tasks	Generalist/Tutorial/03	description	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					description		"There's one more thing to learn.

Some items that you might receive from crafting, trading or tasks are Furniture items, which are used for shelter customization.

Once you receive a Furniture item, it will be stored to a separate inventory called the Furniture Catalog, so it doesn't appear in your normal inventory.

Furniture Catalog is only accessible when you are inside of shelters, but you will always receive a message ""New Furniture Added [Catalog]"" when the catalog is updated.

Try getting new furniture by completing this task:
1. Press Start Delivery
2. Select Potato
3. Press Complete
4. Notice the message ""New Furniture Added [Catalog]""

You can learn more about shelter customization and Furniture Catalog from the tutorial billboard called Shelters."	2802	"Es gibt noch etwas, das du wissen solltest.

Einige Gegenstände, die du durch Handwerk, Tauschhandel oder Aufgaben erhalten kannst, sind Möbelstücke, mit denen du deine Unterkunft individuell gestalten kannst.

Sobald du ein Möbelstück erhältst, wird es in einem separaten Inventar namens „Möbelkatalog“ gespeichert, sodass es nicht in deinem normalen Inventar erscheint.

Der Möbelkatalog ist nur zugänglich, wenn du dich in einer Unterkunft befindest, aber du erhältst immer die Meldung „Neue Möbel hinzugefügt [Katalog]“, wenn der Katalog aktualisiert wird.

Versuche, neue Möbel zu erhalten, indem du diese Aufgabe abschließt:
1. Klicke auf „Lieferung starten“
2. Wähle „Kartoffel“ aus
3. Klicke auf „Abschließen“
4. Achte auf die Meldung „Neue Möbel hinzugefügt [Katalog]“

Mehr über die Anpassung von Unterkünften und den Möbelkatalog erfährst du auf der Tutorial-Tafel mit dem Titel „Unterkünfte“."	"Please pay attention to the following points when translating:
- 'Furniture'
- 'shelter'
- 'Furniture Catalog'
- 'New Furniture Added [Catalog]'
- 'Start Delivery'
- 'Potato'
- 'Complete'
- 'tutorial'
- 'Shelters'"	
Tasks	Generalist/01	name	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					name		Prime Time	2804	Primetime		
Tasks	Generalist/01	difficulty	0	ignore	Traders/Generalist/Tasks/01_Prime_Time	tres					difficulty		Easy				
Tasks	Generalist/01	description	0	literal	Traders/Generalist/Tasks/01_Prime_Time	tres					description		"Well, well... you must be that guy the Nomads found last week. Didn't they put you up in that old tiny cabin? We used to get drunk and play poker there sometimes, but that place always gave me a headache, I'm pretty sure there's asbestos in the ceiling or something.

Nevertheless, you’ve arrived at the prime time, because I’m out of toilet paper and the situation is getting urgent.

Speaking of prime time, I just finished repairing some electronics and I have this fully functional TV ready to go. Mark my words, at the moment, this is the only working TV in Area 05.

If you bring me that toilet paper, the TV is yours. It has all the channels pre-configured, vibrant colors and prime time shows are running as we speak."	2806	"Na, na… du musst der Typ sein, den die Nomaden letzte Woche gefunden haben. Haben sie dich nicht in dieser alten, winzigen Hütte untergebracht? Wir haben uns dort früher manchmal betrunken und Poker gespielt, aber der Ort hat mir immer Kopfschmerzen bereitet – ich bin mir ziemlich sicher, dass da Asbest in der Decke ist oder so.

Trotzdem bist du genau zum richtigen Zeitpunkt gekommen, denn mir ist das Toilettenpapier ausgegangen und die Lage wird langsam brenzlig.

Apropos Primetime: Ich habe gerade ein paar elektronische Geräte repariert und habe diesen voll funktionsfähigen Fernseher einsatzbereit. Merke dir meine Worte: Im Moment ist das der einzige funktionierende Fernseher in Area 05.

Wenn du mir das Toilettenpapier bringst, gehört der Fernseher dir. Alle Kanäle sind voreingestellt, die Farben leuchten, und gerade laufen Primetime-Sendungen."	"Please pay attention to the following points when translating:
- 'Nomad'
- 'cabin'
- 'toilet paper'
- 'Area 05'"	
Tasks	Generalist/02	name	0	literal	Traders/Generalist/Tasks/02_Bad_Habits	tres					name		Bad Habits	2808	Schlechte Gewohnheiten		
Tasks	Generalist/02	difficulty	0	ignore	Traders/Generalist/Tasks/02_Bad_Habits	tres					difficulty		Easy				
Tasks	Generalist/02	description	0	literal	Traders/Generalist/Tasks/02_Bad_Habits	tres					description		"A while ago, I visited the Doctor in that abandoned school nearby. He told me that I should cut out all my ""bad habits,"" but the old fucker smokes himself, so screw him!

You're probably just one of those modern-day hippies who only licks mint pastilles when things get rough, but if you happen to find one of these, bring a pack or two and some matches as well."	2810	"Vor einer Weile war ich bei dem Arzt in der verlassenen Schule hier in der Nähe. Er meinte, ich solle all meine „schlechten Angewohnheiten“ ablegen, aber der alte Scheißkerl raucht selbst, also scheiß auf ihn!

Du bist wahrscheinlich nur einer dieser modernen Hippies, die nur Minzpastillen lutschen, wenn es mal hart auf hart kommt, aber falls du zufällig eine davon findest, bring ein oder zwei Packungen und ein paar Streichhölzer mit."	"Please pay attention to the following points when translating:
- 'Matches' is the plural form of match (match, noun), not match (verb).
- 'pack' may means cigarrete, not a cigar"	
Tasks	Generalist/03	name	0	literal	Traders/Generalist/Tasks/03_Backpains	tres					name		Backpains	2812	Rückenschmerzen		
Tasks	Generalist/03	difficulty	0	ignore	Traders/Generalist/Tasks/03_Backpains	tres					difficulty		Easy				
Tasks	Generalist/03	description	0	literal	Traders/Generalist/Tasks/03_Backpains	tres					description		"When you get to my age, everything hurts and your body is like those French cars, constant issues and in need of repair.

I usually don't complain, but my fucking back is killing me. Every morning when I wake up, it feels like a gunshot directly to my spine. It won't be long until you're just like me and those cursed French cars.

If you happen to find something that could help with my back, I would highly appreciate it."	2814	"Wenn man in mein Alter kommt, tut einem alles weh und der Körper ist wie diese französischen Autos: ständig Probleme und reparaturbedürftig.

Normalerweise beschwere ich mich nicht, aber mein verdammter Rücken bringt mich um. Jeden Morgen, wenn ich aufwache, fühlt es sich an wie ein Schuss direkt in die Wirbelsäule. Es wird nicht mehr lange dauern, bis du genauso bist wie ich und diese verfluchten französischen Autos.

Falls du zufällig etwas findest, das meinem Rücken helfen könnte, wäre ich dir sehr dankbar."		
Tasks	Generalist/04	name	0	literal	Traders/Generalist/Tasks/04_Coffee_Reserve	tres					name		Coffee Reserve	2816	Kaffee-Reserve		
Tasks	Generalist/04	difficulty	0	ignore	Traders/Generalist/Tasks/04_Coffee_Reserve	tres					difficulty		Easy				
Tasks	Generalist/04	description	0	literal	Traders/Generalist/Tasks/04_Coffee_Reserve	tres					description		"There are few things in life that are non-negotiable. There's morning coffee at 6:00, afternoon coffee at 12:00 and dinner coffee at 18:00. When manual labor is involved, coffee breaks in between are also mandatory and basically prescribed by law.

If you want to remain alive here in Area 05, the constant flow of caffeine should be your primary goal.

As a matter of fact, I should probably increase my strategic coffee reserve a bit, since the consumption lately has been above average."	2818	"Es gibt nur wenige Dinge im Leben, die nicht verhandelbar sind. Da wäre der Morgenkaffee um 6:00 Uhr, der Nachmittagskaffee um 12:00 Uhr und der Abendkaffee um 18:00 Uhr. Wenn körperliche Arbeit im Spiel ist, sind auch die Kaffeepausen dazwischen obligatorisch und im Grunde gesetzlich vorgeschrieben.

Wenn man hier in Area 05 am Leben bleiben will, sollte die ständige Zufuhr von Koffein das oberste Ziel sein.

Eigentlich sollte ich meine strategische Kaffeevorratsreserve wohl ein wenig aufstocken, da der Verbrauch in letzter Zeit über dem Durchschnitt lag."	"Please pay attention to the following points when translating:
- 'Area 05'"	
Tasks	Generalist/05	name	0	literal	Traders/Generalist/Tasks/05_Sweaty_Business	tres					name		Sweaty Business	2820	Ein schweißtreibendes Geschäft		
