Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	Comments	max_length
Tutorial	Billboard	1. Settings	replace	"1. Settings

Welcome to Road to Vostok Tutorial

This Tutorial will guide you through the most
important game mechanics and controls

Let's start with settings

You can access Settings with [ESC]

Through these settings you can change inputs,
different system values and performance options

?? = Performance options"	"1. Einstellungen

Willkommen beim Tutorial zu „Road to Vostok“

Dieses Tutorial führt dich durch die wichtigsten
Spielmechaniken und Steuerungsmöglichkeiten

Beginnen wir mit den Einstellungen

Du kannst die Einstellungen mit [ESC] aufrufen

Über diese Einstellungen kannst du die Eingaben,
verschiedene Systemwerte und Leistungsoptionen anpassen

?? = Leistungsoptionen"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Settings.png	97428	178dd2be533d477e3d81e7b729e86ae16e87f8e0cd32e2643a019812c3335afc	428			Performance Icon: Hand-crafted (Reconstruction)		
Tutorial	Billboard	2. Interface	replace	"2. Interface

Interface is your main UI which contains elements
such as inventory, equipment, vitals and stats

You can access Interfae with [TAB]

If you want more information about an item, icon
or specific value, you can use Tooltip

Try Tooltip by opening Interface
and point the character health value"	"2. Benutzeroberfläche

Die Benutzeroberfläche ist deine Hauptanzeige, die Elemente
wie Inventar, Ausrüstung, Lebenspunkte und Werte enthält.

Du kannst die Benutzeroberfläche mit [TAB] aufrufen.

Wenn du weitere Informationen zu einem Gegenstand, einem Symbol
oder einem bestimmten Wert erhalten möchtest, kannst du den Tooltip verwenden.

Probiere den Tooltip aus, indem du die Benutzeroberfläche öffnest
und mit der Maus auf den Gesundheitswert des Charakters zeigst."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Interface.png	90866	3471fa6ac1e234e4ad0c5ed3658d3e07c259d383bc43d3791929da436303ee37	430					
Tutorial	Billboard	3. Loot & Items	replace	"3. Loot & Items

All objects that logically have storage space are 
interactable loot containers

Loot is generated to these containers and items 
are also physically scattered to the game world


You can open, pick and interact with [MMB]

When you have items available in Interface, you can 
choose item actions with Context Menu [RMB]

Open container and try Context Menu with items"	"3. Beute & Gegenstände

Alle Objekte, die logischerweise Stauraum bieten, sind 
interaktive Beutecontainer

Beute wird in diesen Containern generiert, und Gegenstände 
sind zudem physisch in der Spielwelt verteilt


Du kannst sie mit [MMB] öffnen, aufheben und mit ihnen interagieren

Wenn du Gegenstände im Interface zur Verfügung hast, kannst du 
mit dem Kontextmenü [RMB] Aktionen für die Gegenstände auswählen

Öffne einen Container und probiere das Kontextmenü mit den Gegenständen aus"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Items.png	109793	675413455a413a690133e1579f09997829d5fa6a9bdff93322a333f9bf4af28a	432					
Tutorial	Billboard	4. Equipment	replace	"4. Equipment

Equipment are dedicated items slots 
and linked to several important character stats

Equipment can increase your Carry Capacity [CC] 
and give you abilities like flashlight and fire making


You can find equipment slots in Interface
You can activate equipment slots by 
moving compatible items to them

Open container and try equipping items"	"4. Ausrüstung

Ausrüstungsplätze sind spezielle Plätze für Gegenstände 
und sind mit mehreren wichtigen Charakterwerten verknüpft

Ausrüstung kann deine Tragkraft [CC] erhöhen 
und dir Fähigkeiten wie Taschenlampe und Feuermachen verleihen


Du findest die Ausrüstungsplätze im Interface
Du kannst Ausrüstungsplätze aktivieren, indem du 
kompatible Gegenstände dorthin verschiebst

Öffne den Rucksack und versuche, Gegenstände auszurüsten"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Equipment.png	103322	63cc2673b82a91bc1e9ecb0220e431379f9e965d1e99736684edda3191175fd9	434					
Tutorial	Billboard	5. Medical & Conditions	replace	"5. Medical & Conditions

Medical system is based on conditions that 
negatively affect your character's vital stats

These conditions are presented as medical icons 
and you can find them in Interface and HUD


When a medical icon turns red, the condition is 
active and needs to be cured using a medical item

You can see causes, symptoms and cures with Tooltip

Open container and try using some medical items"	"5. Medizin & Zustände

Das medizinische System basiert auf Zuständen, die 
die Lebenswerte deines Charakters negativ beeinflussen

Diese Zustände werden als medizinische Symbole dargestellt 
und sind im Interface und im HUD zu finden


Wenn ein medizinisches Symbol rot wird, ist der Zustand 
aktiv und muss mit einem medizinischen Gegenstand geheilt werden

Ursachen, Symptome und Heilungsmöglichkeiten kannst du über den Tooltip einsehen

Öffne den Rucksack und probiere aus, einige medizinische Gegenstände zu verwenden"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Medical.png	114610	29640b5b62915aa772eb0feb9865b1632266528fed3282921c25a3a67f523fbf	436					
Tutorial	Billboard	6. Weapons	replace	"6. Weapons

Weapons are equipment and they use 
Primary, Secondary, Knife and Grenade slots

When a weapon is equipped you can draw 
and holster from slots with keys [1] [2] [3] [4] [5]


Every firearm can use Primary slot but only 
pistols and SMG's can utilize Secondary slot

Open container, equip a weapon and draw it
| [RMB] = Aim (ADS) | [F] = Firemode |
| [MMB] = Canted aim | [X]=Inspect weapon |
| [SCROLL] = Weapon position | [SCROLL] = Inspect rotation |"	"6. Waffen

Waffen gehören zur Ausrüstung und belegen die 
Slots für Primärwaffe, Sekundärwaffe, Messer und Granaten

Wenn eine Waffe ausgerüstet ist, kannst du sie 
mit den Tasten [1] [2] [3] [4] [5] ziehen und wieder einstecken


Jede Schusswaffe kann den Primär-Slot belegen, aber nur 
Pistolen und Maschinenpistolen können den Sekundär-Slot nutzen

Öffne das Inventar, rüste eine Waffe aus und ziehe sie
| [RMB] = Zielen (ADS) | [F] = Feuermodus |
| [MMB] = Schräges Zielen | [X] = Waffe inspizieren |
| [SCROLL] = Waffenposition | [SCROLL] = Rotation inspizieren |"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Weapons.png	120113	501bb46461dbe98d0da71d9cb65f92a724e9720388ce255d36a4a1e84b8bb2ed	438					
Tutorial	Billboard	7. Ammo & Magazines	replace	"7. Ammo & Magazines

Weapon system uses seperated magazines
and caliber-based ammo types

You can load a magazine by moving a compatible
ammo type to the magazine with Interface

You can unload a magazine with Context Menu [RMB]

Magazines can be attached to weapons manually
or with [R] which fetches a loaded magazine for you

Open container, use Tooltip to identify the ammo
and magazine compatibility, Load -> Attach -> Fire

[LMB] = Fire [V] = ammo check [CTRL] -> [LMB] = Bullet insert (Bolts & Shotguns)"	"7. Munition & Magazine

Das Waffensystem verwendet separate Magazine
und kaliberabhängige Munitionstypen

Du kannst ein Magazin laden, indem du einen kompatiblen
Munitionstyp über die Benutzeroberfläche
in das Magazin verschiebst

Du kannst ein Magazin über das Kontextmenü [RMB] entladen

Magazine können manuell an Waffen angebracht werden
oder mit [R], wodurch ein geladenes Magazin für dich geholt wird

Öffne den Behälter, benutze den Tooltip, um die Kompatibilität von Munition
und Magazin zu überprüfen, Laden -> Anbringen -> Feuern

[LMB] = Feuern [V] = Munitionscheck [STRG] -> [LMB] = Kugel einlegen (Repetierbüchsen & Schrotflinten)"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Ammo.png	136812	9b83d174446ee3d6c286194c33deddd36239f3dc25deec2d77a26e60b58ff3d4	440					
Tutorial	Billboard	8. Attachments	replace	"8. Attachements

You can customize weapons by attaching 
suppressors, optics and lasers to them

You can add/swap attachments like magazines 
with Interface and remove using Context Menu


Open container, use Tooltip or item hover colors to 
identify attachment compatibility and try customizing
[HOLD CTRL] + [SCROLL] = Optic rail position
[SCROLL] = LPVO zoom level
[ALT] = Secondary optic
[T] = Laser toggle"	"8. Aufsätze

Du kannst Waffen anpassen, indem du 
Schalldämpfer, Optiken und Laser daran anbringst

Du kannst Aufsätze wie Magazine über die Benutzeroberfläche hinzufügen oder austauschen 
und über das Kontextmenü entfernen


Öffne den Container und nutze Tooltips oder die Farben beim Bewegen des Mauszeigers über Gegenstände, um 
die Kompatibilität von Aufsätzen zu erkennen und Anpassungen vorzunehmen
[STRG gedrückt halten] + [SCROLL] = Position der Optikschiene
[SCROLL] = LPVO-Zoomstufe
[ALT] = Sekundäre Optik
[T] = Laser ein-/ausschalten"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Attachments.png	111354	ab59b8fe1bebc497a8108a0558837c9de63e625fb2613d45e62ee987a7d9f01f	442					
Tutorial	Billboard	9. Knives & Grenades	replace	"9. Knives & Grenades

When a knife is equipped, you can draw it with key [3]

You can use slash attack with [LMB] 
and stab attack with [RMB]


You have two grenades slots and you can draw 
grenades with keys [4] and [5]

You can prepare high throw with [LMB] 
and low throw with [RMB]

Second press executes and opposite button resets the throw"	"9. Messer & Granaten

Wenn ein Messer ausgerüstet ist, kannst du es mit der Taste [3] ziehen

Du kannst einen Hiebangriff mit [LMB] 
und einen Stichangriff mit [RMB] ausführen


Du hast zwei Granaten-Slots und kannst 
Granaten mit den Tasten [4] und [5] ziehen

Du kannst einen hohen Wurf mit [LMB] 
und einen niedrigen Wurf mit [RMB] vorbereiten

Ein zweiter Druck führt den Wurf aus, der entgegengesetzte Knopf setzt den Wurf zurück"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Grenades.png	107848	e5148a4c72c630ea886949ddf014d8bd89b3f7fd8cc145998fa0ddc81329d29f	444					
Tutorial	Billboard	10. Armor	replace	"10. Armor

Armor system is based on NIJ-rated (II-IV)
helmets, armor plates, and plate carriers (rigs)

Armor protection level is directly linked
to ammo/weapon penetration level which
both can be checked using Tooltip


Open container, equip helmet and plate carrier and
try attaching armor plate to the rig like attachments

|NIJ II = Level 1| 1. If protection matches penetration, armor can take 3-4 shots|
|NIJ IIA = Level2| 2. Each hit reduces armor condition, armor breaks at 0%|
|NIJ III = Level 3| 3. Higher lever penetration breaks the armor immediately|
|NIJ III+ = Level 4| 4. Helmets prevent critical medical condition Headshot|
|NIJ IV = Level 5| 5. Armor plates prevent critical medical condition Rupture|"	"10. Schutzausrüstung

Das Schutzausrüstungssystem basiert auf NIJ-zertifizierten (II–IV)
Helmen, Schutzplatten und Trägersystemen (Rigs)

Der Schutzgrad der Rüstung hängt direkt
vom Durchschlagskraftwert der Munition/Waffe ab,
beides kann über den Tooltip überprüft werden


Öffne den Rucksack, rüste Helm und Plattenträger aus und
versuche, die Panzerplatte wie Zubehörteile am Rigg zu befestigen

|NIJ II = Stufe 1| 1. Wenn der Schutz der Durchschlagskraft entspricht, hält die Rüstung 3–4 Schüsse aus|
|NIJ IIA = Stufe 2| 2. Jeder Treffer verringert den Zustand der Panzerung; die Panzerung bricht bei 0 %|
|NIJ III = Stufe 3| 3. Durchschläge höherer Stufen zerstören die Panzerung sofort|
|NIJ III+ = Stufe 4| 4. Helme verhindern den kritischen Gesundheitszustand „Kopfschuss“|
|NIJ IV = Stufe 5| 5. Panzerplatten verhindern den kritischen Gesundheitszustand „Ruptur“|"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Armor.png	142342	34e1fed9502c316d573a33416794aa3b9ff8b50fa1ef551fa9d3b5aa70cd7e4b	446					
