WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	쉬움			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	보통			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	어려움			
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	튜토리얼 의뢰 1 (간단함)			
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy	쉬움			
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"간단한 것부터 시작해 볼까요?

아이템 게시판으로 가서 통조림 완두콩 수프를 가져오세요. 배달할 아이템을 인벤토리에 넣었으면 다음 단계를 따르세요.
1. '배달 시작'을 누르세요.
2. '완두콩 스프 통조림'를 선택하세요.
3. '완료'를 누르세요."	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"		
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	튜토리얼 의뢰 2 (복잡함)			
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate	보통			
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"이제 좀 더 복잡하게 만들어 볼게요.

일부 임무는 '미트볼 (조리됨)'과 같이 '제작'을 통해서만 얻을 수 있는 특정 재료를 필요로 합니다.

아이템 게시판에서 '미트볼 통조림', '반함', '물병'을 선택하세요. '성냥'도 필요한데, 장비 게시판에서 구입할 수 있습니다.

다음으로, '도구' 메뉴에서 '제작' 버튼을 눌러 '구운 미트볼' 레시피를 찾으세요. 레시피를 보면 '열원'이라는 조건이 있는데, 이는 레시피를 만들려면 화로와 같은 열원이 필요하다는 뜻입니다.

'미트볼 (조리됨)'을 제작하려면 다음 단계를 따르세요.
1. 화로로 가서 '성냥'을 장착하고 불을 붙입니다.
2. '미트볼 (조리됨)' 레시피를 열면 '열원 기호가 초록색으로 바뀔겁니다.
3. '투입 시작' 버튼을 누릅니다.
4. '반합', '미트볼 통조림', '물병'을 선택합니다.
5. '투입 시작' 버튼을 누릅니다.

이제 의뢰에 필요한 아이템을 성공적으로 제작했으니 의뢰를 완료할 수 있습니다."	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"		
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	튜토리얼 의뢰 (가구)			
