text	translation
Airdrop	エアドロップ
Tutorial Crate	チュートリアル・クレート
Electric Box	電動ボックス
Medical Cabinet	メディカルキャビネット
Office Cabinet	オフィス用キャビネット
Cabinet	キャビネット
Corpse	死体
Bandit Corpse	盗賊の死体
Crate Military	木箱（軍用）
Crate Special	クレート（スペシャル）
Wooden Crate	木箱
Garbage	ゴミ
Fireplace	たき火
Freezer	冷凍庫
Fridge	冷蔵庫
Fusebox	ヒューズボックス
Locker	ロッカー
Mailbox	メールボックス
Nightstand	ナイトスタンド
Boxes	箱
Stove	コンロ
Furniture	家具
Furnitures	家具
Bed (Civilian)	ベッド（一般）
Bed C.	ベッド C.
Bed (Nomad)	ベッド（ノマド）
Bed N.	ベッド N.
Cabinet (Medical)	キャビネット（医療）
Cabinet M.	キャビネット M.
Cabinet (Office)	キャビネット（オフィス）
Cabinet. 0	キャビネット 0.
Cabinet (Wood)	キャビネット（木製）
Cabinet W.	キャビネット W.
Carpet (Persian)	カーペット（ペルシャ絨毯）
Carpet P.	カーペット P.
Carpet (Rag)	カーペット（ラグ）
Carpet R.	カーペット R.
Chair (Office)	椅子（オフィス）
Chair O.	椅子 O.
Chair (School)	チェア（学校）
Chair S.	椅子 S.
Sun Chair	サンチェア
S. Chair	S.チェア
Crate (Military)	木箱（軍用）
Crate M.	木箱 M.
Crate (Special)	クレート（スペシャル）
Crate S.	クレート S.
Cupboard	食器棚
C. Board	C. 棚
Curtain (Long)	カーテン（ロング）
Curtain L.	カーテン・L.
Curtain (Mini)	カーテン（ミニ）
Curtain M.	カーテン・M.
Dartboard	ダーツボード
D. Board	D. ボード
N. Stand	N. スタンド
Painting (Lake)	絵画（湖）
Painting L.	絵画 L.
Pallet	パレット
Poster (Posture)	ポスター（姿勢）
Poster P.	ポスター P.
Rack (Coat)	ラック（コート用）
Rack C.	ラックC.
Rya (Maria)	リイヤ（マリア）
Rya M.	リイヤ M.
Shelf (Metal)	棚（金属製）
Shelf M.	棚・M.
Shelf (Wall)	棚（壁掛け）
Shelf W.	棚・W.
Shelf (Wood)	棚（木製）
Sign (Border Zone)	標識（境界区域）
Sign BZ.	標識 BZ.
Sofa (Leather)	ソファ（本革）
Sofa L.	ソファ L。
Stool (Military)	スツール（軍用）
Stool M.	便 M.
Stool (Padded)	スツール（クッション付き）
Stool P.	便
Table (Cabin)	テーブル（客室）
Table C.	テーブルC。
Table (Canteen)	テーブル（食堂用）
Table (Kitchen)	テーブル（キッチン用）
Table K.	表K.
Table (Office)	テーブル（オフィス用）
Table. O	テーブル O
Target Stand	ターゲットスタンド
Target S.	ターゲット・S
Television	テレビ
TV	テレビ
Trolley (Short)	トロリー（ショート）
Trolley S.	トロリー・S
Trolley (Tall)	トロリー（背の高いタイプ）
Trolley T.	トロリー・T。
Weapon Display	武器展示
Weapon D.	武器D。
Trader Event	トレーダーイベント
Dynamic Event	ダイナミック・イベント
Special Event	特別イベント
