WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show	Afficher	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1	Jour 1	
			0	0	0	0	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}		
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village	Le généraliste revient au Village	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days	Dans 10 jours	
			0	0	0	0	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days		
			0	0	0	0	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event		
			0	0	1	0	0	substr									Trader Event	Événement destiné aux traders	
			0	0	1	0	0	substr									Dynamic Event	Événement dynamique	
			0	0	1	0	0	substr									Special Event	Événement spécial	
			0	0	1	0	0	ignore									Trader	Trader	
			0	0	1	0	0	substr									Dynamic	Dynamique	
			0	0	1	0	0	substr									Special	Spécial	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event	Événement destiné aux traders	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:	Lieu de l'événement :	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village	Village	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Possibility	Label	text	873648025	Event possibility:	Possibilité d'événement :	
			0	0	1	0	0	substr	Scripts/Event	gd			possibility.get_child(0).text	literal		50	Guaranteed	Garanti	
			0	0	1	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	text	1762783310	~5% / map instance	environ 5 % / instance de carte	"Dynamically Changed on Event.gd
Maybe a Placeholder"
			0	0	0	0	0	pattern	Scripts/Event	gd			possibility.get_child(0).text	concat		52	~{str}% / map instance		
