WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	Facile		#Machine Translated	
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	Intermédiaire		#Machine Translated	
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	Difficile		#Machine Translated	
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	Exercice 1 du tutoriel (facile)		#Machine Translated	
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy	Facile		#Machine Translated	
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	"Commençons par quelque chose de simple.

Rendez-vous au panneau « Articles » et prenez la « Soupe aux petits pois en conserve ». Une fois que l'article à livrer se trouve dans votre inventaire :
1. Appuyez sur « Commencer la livraison »
2. Sélectionnez « Soupe aux petits pois en conserve »
3. Appuyez sur « Terminer »"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"	#Machine Translated	
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	Exercice 2 du tutoriel (niveau avancé)		#Machine Translated	
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate	Intermédiaire		#Machine Translated	
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	"Ajoutons maintenant un peu de complexité.

Certaines missions peuvent nécessiter des objets à fabriquer, comme celle-ci qui requiert des boulettes de viande (cuites), que l'on ne peut obtenir qu'en les fabriquant.

Allez dans le menu « Objets », prenez des boulettes de viande en conserve, une gamelle et une gourde. Vous aurez également besoin d'allumettes, que vous trouverez dans le menu « Équipement ».

Ensuite, trouvez la recette des boulettes de viande (cuites) dans l'interface des outils à l'aide du bouton « Fabrication ». Lorsque vous consultez la recette, vous verrez qu'elle nécessite une source de chaleur à proximité, ce qui signifie que vous aurez besoin d'une source de chaleur pour débloquer cette recette.

Pour fabriquer les boulettes de viande (cuites), procédez comme suit :
1. Allez au brasero, équipez-vous d’allumettes et allumez le feu
2. Ouvrez la recette des boulettes de viande (cuites) et remarquez que le symbole de chaleur est devenu vert
3. Appuyez sur « Démarrer la saisie »
4. Sélectionnez le kit de cuisine, les boulettes de viande en conserve et la bouteille d’eau
5. Appuyez sur « Fabriquer »

Vous avez maintenant fabriqué avec succès l’objet requis pour la quête et vous pouvez terminer la quête."	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"	#Machine Translated	
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	Exercice 3 du tutoriel (Mobilier)		#Machine Translated	
