location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	새 게임
Scenes/Menu	Main/Buttons	Load	Button	Load game	불러오기
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	튜토리얼
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	"설정
"
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	"로드맵
"
Scenes/Menu	Main/Buttons	About	Button	"About
"	"정보
"
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	"종료
"
Scenes/Menu	Log	Header	Label	Changelog	변경사항
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	"끄기
"
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	"켜기
"
Scenes/Menu	Hardware	Header	Label	Hardware Check	하드웨어 확인
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	"켜기
"
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	"끄기
"
Scenes/Menu	Intro	Header	Label	Watch Intro	인트로 보기
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	"켜기
"
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	"끄기
"
Scenes/Menu	Music	Header	Label	Menu Music	메뉴 음악
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	"켜기
"
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	"끄기
"
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	"Road to Vostok ®은 핀란드와 러시아 사이의 종말 이후 
접경
 지대를 배경으로 하는 하드코어 싱글 플레이어 생존 게임입니다."
Scenes/Menu	.	Version	Label	Version: 0.1.0.0	버전: 0.1.0.0
Scenes/Menu	Changelog/Header	Label	Label	Changelog	변경사항
