text	translation
Monitor: {idx}	Monitor: {idx}
Window: {percent}%	Ablak: {percent}%
Loading {scene}...	{scene} Betöltés folyamatban...
Remove {name}	{name} Eltávolítás
Level {no}	Szint {no}
Day {str}	{str} Nap
In {str} Days	{str}nap múlva
{type} Event	{type} Esemény
~{str}% / map instance	~{str}% / az adott terület
You slept {str} hours	{str} órát aludtam
Cat Fed ({name})	Megetettem a macskát ({name})
Task Completed: {name}	A megbízás teljesítve: {name}
Item Returned: {name}	A tárgy visszaadva: {name}
Take ({str})	berendezési tárgyak ({str})
Level {str}	Szint {str}
Remove ({display})	Eltávolítás ({display})
Unlock with {name}	Megnyitás ({name} Használat)
Open with {name}	Nyitás ({name})
{containerName} [Locked]	{containerName} [Zárva]
{containerName} [Open]	{containerName} [Megnyitás]
Fuel Tank [{percent}%]	üzemanyagtartály [{percent}%]
Items: {str}	Tétel: {str}
