text	translation
Day {str}	{str} Nap
In {str} Days	{str} nap múlva
{type} Event	{type} Esemény
~{str}% / map instance	~{str}% / az adott terület
Remove {name}	Eltávolítás {name}
Level {no}	Szint {no}
Monitor: {idx}	Monitor: {idx}
Window: {percent}%	Ablak: {percent}%
Loading {scene}...	Betöltés folyamatban {scene}...
You slept {str} hours	{str} órát aludtam
Cat Fed ({name})	Megetettem a macskát ({name})
Task Completed: {name}	A megbízás teljesítve: {name}
Item Returned: {name}	A tárgy visszaadva: {name}
Take ({str})	Vedd({str})
Level {str}	Szint {str}
Remove ({display})	Eltávolítás ({display})
Unlock with {name}	Kinyitás {name}
Open with {name}	Nyitás {name}
{containerName} [Locked]	{containerName} [Zárva]
{containerName} [Open]	{containerName} [Megnyitás]
Fuel Tank [{percent}%]	Üzemanyagtartály [{percent}%]
Items: {str}	Tétel: {str}
