text	translation
Compatibility	Совместимость
Selected	Выбранные
Press key to bind...	Нажмите клавишу для привязки...
Forward	Вперед
Backward	Назад
Left	Слева
Right	Верно
Crouch	Приседание
Jump	Перейти
Sprint	Спринт
Lean Left	Немного влево
Lean Right	Наклониться вправо
Draw Primary	Нарисовать основной
Draw Secondary	Нарисовать второстепенный
Draw Knife	Нож для строгания
Draw Grenade 1	Нарисовать гранату 1
Draw Grenade 2	Нарисовать гранату 2
Raise Weapon	Поднять оружие
Lower Weapon	Нижнее оружие
Aim	Цель
Canted Aim	Наклонная прицельная линия
Fire	Пожар
Reload	Обновить
Ammo Check	Проверка боеприпасов
Firemode	Режим пожара
Inspect Weapon	Проверить оружие
Prepare Insert	Подготовить вставку
Insert Cartridge	Вставить картридж
Interact	Взаимодействовать
Place	Место
Decor Mode	Режим «Декор»
Flashlight	Фонарик
NVG	NVG
Laser	Лазер
Rail Movement	Движение по железной дороге
Secondary Optic	Вторичная оптика
Interface	Интерфейс
Rotate Item	Повернуть элемент
Fast Transfer	Быстрая передача
Fast Equip	Быстрое снаряжение
Fast Drop	Быстрое падение
Left Mouse Button	Левая кнопка мыши
Right Mouse Button	Правая кнопка мыши
Middle Mouse Button	Средняя кнопка мыши
Mouse Wheel Up	Прокрутка колесика мыши вверх
Mouse Wheel Down	Прокрутка колесика мыши вниз
Mouse Thumb Button 1	Кнопка 1 на большом пальце мыши
Mouse Thumb Button 2	Вторая кнопка на мыши
UI Scaling	Масштабирование интерфейса
Loading...	Загрузка...
Skip Intro [SPACE]	Пропустить вступление [ПРОБЕЛ]
All save files deleted	Все файлы сохранений удалены
Character died	Персонаж умер
Intro	Вступление
Cabin	Убежище
Shelter	Укрытие
Tutorial	Учебное пособие
Menu	Меню
Attic	Чердак
Death	Смерть
Classroom	Класс
Tent	Палатка
Bunker	Бункер
Village	Деревня
Area 05	Зона 05
Highway	Шоссе
School	Школа
Outpost	Аванпост
Border Zone	Пограничная зона
Minefield	Минное поле
Apartments	Жилые комплексы
Terminal	Терминал
Tutorial Exit	Выйти из обучения
Template	Шаблон
shaders	шейдеры
Trader	Торговец
Generalist	Универсал
Doctor	Доктор
Gunsmith	Оружейник
Driver	Водитель
Grandma	Бабуля
Shaman	Шаман
Fisherman	Рыбак
Scientist	Учёный
Bandit	Бандит
Guards	Охрана
Military	Армия
Punisher	Каратель
Neutral	Нейтральный
Overcast	Пасмурно
Rain	Дождь
Storm	Шторм
Generic	Обычный
Wood	Древесина
Metal	Металл
Concrete	Бетон
Rock	Камень
Vostok	Vostok
Inventory	Инвентарь
Primary	Основное
Secondary	Вторичное
Vital	Показатель
Task Notes empty	Заметки заданий пусты
Task Notes not available (Tutorial)	Заметки заданий недоступны (Обучение)
Map not equipped	Карта не надета
Map not usable (Vostok)	Карта недоступна (Vostok)
Casette Player not equipped	Кассетный плеер не надет
Casette Player power 0%, recharge player	Кассетный плеер разряжен 0%, зарядите плеер
Casette Player empty, insert casette	Кассетный плеер пуст, вставьте кассету
Override Ambient Music [ON]	Заглушить фоновую музыку [ВКЛ]
Override Ambient Music [OFF]	Заглушить фоновую музыку [ВЫКЛ]
Sleep	Спать
Level 2	Уровень 2
Level 3	Уровень 3
Level 4	Уровень 4
Level 5	Уровень 5
Heat required	Требуется источник тепла
Workbench required	Требуется верстак
Shelter required	Требуется укрытие
Start Input	Начать загрузку
Stop Input	Остановить загрузку
Reset Input	Сбросить загрузку
Start Delivery	Начать доставку
Stop Delivery	Остановить доставку
Delivered	Доставлено
CBRN	РХБЯ
Overweight	Перегрузка
Explosion	Взрыв
Fall	Падение
Day	День
Easy	Лёгкий
Intermediate	Средний
Hard	Сложный
Trader Event	Событие торговца
Dynamic Event	Динамическое событие
Special Event	Особое событие
Dynamic	Динамический
Special	Особое
Guaranteed	Гарантировано
Common	Обычный
Rare	Редкий
Legendary	Легендарный
Armor Plate	Бронепластина
Armor	Броня
Armor Plate {class}	Бронепластина {class}
Armor Plate (II)	Бронепластина (II)
Armor Plate (III+)	Бронепластина (III+)
Armor Plate (III)	Бронепластина (III)
Armor Plate (IIIA)	Бронепластина (IIIA)
Armor Plate (IV)	Бронепластина (IV)
Backpack	Рюкзак
Jääkäri Backpack (Black)	Рюкзак Jääkäri (чёрный)
Jääkäri BP.	Рюкз. Jääkäri.
Jääkäri Backpack (Brown)	Рюкзак Jääkäri (коричневый)
Jääkäri Backpack (Green)	Рюкзак Jääkäri (зелёный)
Jääkäri Backpack (M05)	Рюкзак Jääkäri (M05)
Nomad Backpack	Рюкзак Nomad
Nomad BP.	Рюкз. Nomad.
Patrol Backpack	Патрульный рюкзак
Patrol BP.	Патр. рюкз.
Duffel (Retro)	Дорожная сумка (ретро)
R. Duffel	Рет. сумка
Belt Pouch	Поясная сумка
Kukkaro (Black)	Kukkaro (чёрный)
Kukkaro	Kukkaro
Kukkaro (Brown)	Kukkaro (коричневый)
Kukkaro (Green)	Kukkaro (зелёный)
Kukkaro (M05)	Kukkaro (M05)
Literature	Литература
Book (Children)	Книга (детская)
Children	Детская
Book (Cooking)	Книга (кулинарная)
Cooking	Кулинария
Book (Fishing)	Книга (рыбалка)
Book (Religion)	Книга (религия)
Religion	Религия
Clothing	Одежда
Flame Beanie	Шапка Flame
F. Beanie	Шапка F
Combat Boots	Берцы
C. Boots	Берцы C
M62 Cap	Кепка M62
Tactical Fleece (Brown)	Тактический флис (коричневый)
T. Fleece	Такт. флис
Tactical Fleece (Green)	Тактический флис (зелёный)
Leather Gloves	Кожаные перчатки
L. Gloves	Кож. перч
