WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	兼容性	Text that notice user is running the game as 'Compatibility Mode'	
Main_Menu	Compatibility		0	substr									Compatibility	2032	兼容性		
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility				
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility				
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	新游戏		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	加载游戏		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	教程		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	设置		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	路线图		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	关于		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	退出		
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	更新日志		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	关闭		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	于		
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	硬件检查		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	关闭		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	于		
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	观看简介		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	关闭		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	于		
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	菜单 音乐		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	关闭		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	于		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	“Road to Vostok ®”是Road to Vostok有限公司的注册商标。版权所有 © 2026		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	版本：0.1.1.3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."	
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	更新日志		
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"以下是本次更新的变更内容：
抢先体验版 [0.1.0.0] -> 抢先体验版 [0.1.1.3]
----------------------------------------
构建名称：Road - Build 1
构建版本：0.1.1.3
构建类型：正式版
----------------------------------------
热修复 [0.1.1.3]
[已修复] 在同一帧关闭界面时，上下文操作可能导致角色死亡 （上下文使用）
[已修复] 若在同一帧关闭界面，上下文操作可能导致物品损坏（上下文卸载）
[已修复] 若在同一帧关闭界面，上下文操作可能导致家具损坏（上下文放置）
----------------------------------------
[新增] 针对硬件问题的兼容性启动选项
[新增] 增加了用于处理 GPU 停滞/超时的缓冲内存
[新增] 加载地图时的 CPU 负载分配
[新增] 引擎版本切换为 Godot 4.6.2 以提升稳定性
[新增] 添加了 SMAA 抗锯齿选项（设置）
[新增] 重写了图像锐化着色器以提升稳定性 （设置）
[新增] 家具破坏功能新增误点击保护机制（按住左键）
[新增] 空投补给在夜间使用绿色化学灯提升可见度
[新增] 空投补给现支持可变战利品表 [x3]
[新增] 惩罚者现支持可变战利品表 [x3]
[新增] 惩罚者战利品表优化，新增更多物品
[新增] 击杀 AI 后其尸体掉落几率提升 [25%->75%]
[新增] 增加工业类战利品生成 [机油滤清器]
[新增] 终端机新增特殊箱子及战利品生成点
[新增] 特殊箱子也可生成传奇物品
[新增] 新物品：口香糖
----------------------------------------
[修复] 避难所和商人区域内灯光/阴影闪烁
[修复] 关闭界面时，若上下文菜单处于活动状态可能导致卡死
[修复] 卡死的上下文菜单可能导致物品损坏或悬浮
[修复] 使用物品时庇护所物品返还可能导致死亡
[修复] 低光环境下检查弹药时弹匣会发光
[修复] AI 能穿过空投碰撞体进行移动/攻击
[修复] AI 能穿过直升机坠毁碰撞体进行移动/攻击
[修复] AI 可能卡在直升机坠毁碰撞体上
[已修复] 无需钥匙即可利用高速公路隧道漏洞
[已修复] 黑暗/铁人模式的随机出生点会传送至过渡区域（学校/高速公路）
[已修复] AI 射击精度不一致及计算错误
[已修复] 控制器角色可能卡在村庄建筑（厕所门）上
[已修复] 控制器角色可能卡在村庄拖拉机上 （谷仓）
[已修复] 控制器可能卡在村庄车库（纸箱）上
[已修复] 控制器可能卡在学校建筑（交易台）上
[已修复] 控制器可能卡在学校建筑（多把椅子）上
[已修复] 控制器可能卡在高速公路市场（货架缝隙）上
[已修复] 控制器可能卡在高速公路市场（购物车）上
[已修复] 控制器可能卡在公寓楼的楼梯上（尸体头部）
[已修复] 控制器可能卡在车站坡道上（火车场区域）
[已修复] 军用BTR可能以高速原地打转
[已修复] 简易夹板无法治愈骨折状态
[已修复] 医生出售自己的任务物品 [消毒剂]
[已修复] 枪匠出售了本应属于任务的物品 [Skrama 200]
[已修复] MSAA 8x 选项无法保存至偏好设置
[已修复] 教程箱中未包含 M78 弹匣
----------------------------------------
[调整] 致命医疗状况 [内脏破裂] 的触发概率降低 [5%->3%]
[调整] 致命医疗状况 [爆头] 的触发概率降低 [5%->3%]
[调整] 角色脱水速度降低 [10%]
[调整] 角色精神值下降速度降低 [10%]
[调整] 猫的生命值下降速度减缓 [20%]
[调整] 猫的叫声和发声频率降低
[调整] 商人（开始/结束/闲置）语音触发频率降低
[调整] 渲染分辨率选项改为“低/原生”（减少混淆）
[调整] 掉落物品改为出现在玩家正前方而非背包内（避难所）
----------------------------------------
[移除] 移除了所有第三方/过时的 AMD FSR 相关内容以提升稳定性
----------------------------------------"		
