text	translation
Compatibility	Kompatibilitás
Selected	Kiválasztás
Press key to bind...	Hozzárendelés...
Forward	Előre
Backward	Hátra
Left	Balra
Right	Jobbra
Crouch	Guggolás
Jump	Ugrás
Sprint	Futás
Lean Left	Kitekintés balra
Lean Right	Kitekintés jobbra
Draw Primary	Fő fegyver elővétele
Draw Secondary	Másodlagos fegyver elővétele
Draw Knife	Kés elővétele
Draw Grenade 1	Gránát 1 elővétele
Draw Grenade 2	Gránát 2 elővétele
Raise Weapon	Fegyver felemelése
Lower Weapon	Fegyver leengedése
Aim	Célzás
Canted Aim	Döntött célzás
Fire	Tüzelés
Reload	Újratöltés
Ammo Check	Lőszer ellenőrzése
Firemode	Tűzelési mód
Inspect Weapon	Fegyverek áttekintése
Prepare Insert	Előkészítés a behelyezéshez
Insert Cartridge	A tár behelyezése
Interact	Kölcsönhatás
Place	Elengedés
Decor Mode	Dekor mód
Flashlight	Zseblámpa
NVG	Éjjellátó
Laser	Lézer
Rail Movement	Sínmozgatás
Secondary Optic	Kiegészítő célzó
Interface	Felület
Rotate Item	Tétel forgatása
Fast Transfer	Gyors áthelyezés
Fast Equip	Gyors felszerelés
Fast Drop	Gyors eldobás
Left Mouse Button	Bal egérgomb
Right Mouse Button	Jobb egérgomb
Middle Mouse Button	Középső egérgomb
Mouse Wheel Up	Görgő fel
Mouse Wheel Down	Görgő le
Mouse Thumb Button 1	Egér hüvelykujj gomb 1
Mouse Thumb Button 2	Egér hüvelykujj gomb 2
UI Scaling	UI Méretezés
Loading...	Betöltés...
Skip Intro [SPACE]	Bevezető kihagyása [SPACE]
All save files deleted	Minden mentési fájl törölve lett
Character died	A karakter meghalt
Menu	Menü
Intro	Bevezető
Tutorial	Kiképzés
Tutorial Exit	Kilépés a kiképzésből
Death	Halál
Template	Készlet
shaders	árnyékolók
Shelter	Menedék
Cabin	Faház
Attic	Padlás
Classroom	Osztályterem
Tent	Sátor
Bunker	Bunker
Area 05	05-ös körzet
Village	Falu
Highway	Autópálya
School	Iskola
Border Zone	Határzóna
Outpost	Előőrs
Minefield	Aknamező
Vostok	Vostok
Apartments	Panellakások
Terminal	Terminál
Trader	Kereskedő
Generalist	Szakember
Doctor	Doktor
Gunsmith	Fegyverkovács
Driver	Sofőr
Grandma	Nagymama
Shaman	Sámán
Fisherman	Halász
Scientist	Tudós
Bandit	Bandita
Guards	Őrök
Military	Hadsereg
Punisher	A Megtorló
Neutral	Semleges
Overcast	Felhős
Rain	Eső
Storm	Vihar
Generic	Általános
Wood	Fa
Metal	Fém
Concrete	Beton
Rock	Szikla
Inventory	Készlet
Primary	Elsődleges
Secondary	Másodlagos
Vital	Vitalitás
Task Notes empty	A feladatok listája üres
Task Notes not available (Tutorial)	A feladatok jegyzete nem használható (Kiképzés)
Map not equipped	Térkép nincs felszerelve
Map not usable (Vostok)	A térkép nem használható ( Vostok)
Casette Player not equipped	Nincs lejátszó felszerelve
Casette Player power 0%, recharge player	A lejátszó lemerült 0%, töltse fel
Casette Player empty, insert casette	Lejátszó üres, tegyen be egy kazettát
