WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		38	Easy	2786	Лёгкий			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		40	Intermediate	2788	Средний			
Tasks	/	difficulty	0	substr	Scripts/Task	gd			difficulty.text	compare		42	Hard	2790	Сложный			
Tasks	Generalist/Tutorial/01	name	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					name		Tutorial Task 1 (Simple)	2792	Обучающее задание 1 (простое)			
Tasks	Generalist/Tutorial/01	difficulty	0	ignore	Traders/Generalist/Tutorial/01_Tutorial	tres					difficulty		Easy					
Tasks	Generalist/Tutorial/01	description	0	literal	Traders/Generalist/Tutorial/01_Tutorial	tres					description		"Let's start with something simple.

Go to the Items billboard and grab Canned Pea Soup. Once you have the delivery item in your inventory:
1. Press Start Delivery
2. Select Canned Pea Soup
3. Press Complete"	2794	"Начнём с чего-нибудь простого.

Подойди к стенду с предметами и возьми консервированный гороховый суп. Когда предмет доставки окажется в твоём инвентаре:
1. Нажми «Начать доставку»
2. Выбери консервированный гороховый суп
3. Нажми «Завершить»"	"Please pay attention to the following points when translating:
'Canned Pea Soup'
'Start Delivery'
'Complete'"		
Tasks	Generalist/Tutorial/02	name	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					name		Tutorial Task 2 (Complex)	2796	Обучающее задание 2 (сложное)			
Tasks	Generalist/Tutorial/02	difficulty	0	ignore	Traders/Generalist/Tutorial/02_Tutorial	tres					difficulty		Intermediate					
Tasks	Generalist/Tutorial/02	description	0	literal	Traders/Generalist/Tutorial/02_Tutorial	tres					description		"Now let's add some complexity.

Some tasks might require crafting-based delivery items, like this task requires Meatballs (Cooked), which can only be obtained through crafting.

Go to the Items billboard, grab Canned Meatballs, Mess Kit and Water Bottle. You are also going to need matches, you can find those from the Equipment billboard.

Next, find the Meatballs (Cooked) recipe from the Tools UI using the Crafting button. When you look at the recipe, it has a proximity requirement Heat, meaning you will need a heat source to unlock that recipe.

In order to craft the Meatballs (Cooked), do the following:
1. Go to the Firepot, equip matches and light the fire
2. Open the Meatballs (Cooked) recipe and notice the heat symbol turned green
3. Press Start Input
4. Select Mess Kit, Canned Meatballs and Water Bottle
5. Press Craft

Now you have successfully crafted the required task item and you can complete the task."	2798	"Теперь усложним задачу.

Некоторые задания могут требовать предметов доставки, полученных через крафт. Например, это задание требует Тефтелей (приготовленных), которые можно получить только путём крафта.

Подойди к стенду с предметами и возьми Консервированные тефтели, Котелок и Бутылку воды. Тебе также понадобятся спички — их можно найти на стенде с оборудованием.

Затем найди рецепт Тефтелей (приготовленных) в интерфейсе инструментов, нажав кнопку «Крафт». Посмотрев на рецепт, ты увидишь условие близости — Тепло, то есть тебе понадобится источник тепла, чтобы разблокировать этот рецепт.

Чтобы приготовить Тефтели (приготовленные), сделай следующее:
1. Подойди к Горелке, возьми спички и разожги огонь
2. Открой рецепт Тефтелей (приготовленных) и заметь, что символ тепла стал зелёным
3. Нажми «Начать загрузку»
4. Выбери Котелок, Консервированные тефтели и Бутылку воды
5. Нажми «Создать»

Теперь ты успешно создал необходимый предмет задания и можешь выполнить задание."	"Please pay attention to the following points when translating:
'Meatballs (Cooked)'
'Canned Meatballs'
'Mess Kit'
'Water Bottle'
'matches'
'Heat'
'Firepot'
'Start Input'"		
Tasks	Generalist/Tutorial/03	name	0	literal	Traders/Generalist/Tutorial/03_Tutorial	tres					name		Tutorial Task 3 (Furniture)	2800	Обучающее задание 3 (мебель)			
